Location Names,Paso de los Troncos
Location Ids,119.0
Time,Q.obs
2021-07-01 07:00:00,23.407
2021-07-01 13:00:00,19.919
2021-07-01 19:00:00,19.086
2021-07-02 07:00:00,15.154
2021-07-02 13:00:00,12.297
2021-07-02 19:00:00,11.624
2021-07-03 07:00:00,10.967
2021-07-03 13:00:00,10.327
2021-07-03 19:00:00,9.098
2021-07-04 07:00:00,9.704
2021-07-04 13:00:00,9.098
2021-07-04 19:00:00,8.509
2021-07-05 07:00:00,8.509
2021-07-05 13:00:00,7.383
2021-07-05 19:00:00,7.383
2021-07-06 07:00:00,6.846
2021-07-06 13:00:00,6.259
2021-07-06 19:00:00,6.259
2021-07-07 07:00:00,6.259
2021-07-07 13:00:00,5.648
2021-07-07 19:00:00,6.846
2021-07-08 07:00:00,6.259
2021-07-08 13:00:00,5.648
2021-07-08 19:00:00,5.648
2021-07-09 07:00:00,5.071
2021-07-09 13:00:00,4.528
2021-07-09 19:00:00,4.528
2021-07-10 07:00:00,4.528
2021-07-10 13:00:00,4.019
2021-07-10 19:00:00,4.019
2021-07-11 07:00:00,4.528
2021-07-11 13:00:00,4.019
2021-07-11 19:00:00,4.019
2021-07-12 07:00:00,4.019
2021-07-12 13:00:00,4.528
2021-07-12 19:00:00,5.071
2021-07-13 07:00:00,5.648
2021-07-13 13:00:00,6.846
2021-07-13 19:00:00,7.937
2021-07-14 07:00:00,8.509
2021-07-14 13:00:00,12.297
2021-07-14 19:00:00,16.679
2021-07-15 07:00:00,50.396
2021-07-15 13:00:00,57.317
2021-07-15 19:00:00,64.723
2021-07-16 07:00:00,47.116
2021-07-16 13:00:00,37.990
2021-07-16 19:00:00,29.919
2021-07-17 07:00:00,14.416
2021-07-17 13:00:00,12.987
2021-07-17 19:00:00,10.967
2021-07-18 07:00:00,10.327
2021-07-18 13:00:00,9.704
2021-07-18 19:00:00,9.704
2021-07-19 07:00:00,9.704
2021-07-19 13:00:00,9.098
2021-07-19 19:00:00,9.098
2021-07-20 07:00:00,8.509
2021-07-20 13:00:00,7.937
2021-07-20 19:00:00,7.937
2021-07-21 07:00:00,7.383
2021-07-21 13:00:00,6.846
2021-07-21 19:00:00,6.259
2021-07-22 07:00:00,6.259
