Location Names,Paso Pache (Ruta 5 Nueva)
Location Ids,59.1
Time,Q.obs
2009-01-01 00:00:00,1.689
2009-01-01 00:15:00,1.689
2009-01-01 02:15:00,1.800
2009-01-01 02:30:00,1.800
2009-01-01 07:45:00,1.689
2009-01-01 08:00:00,1.689
2009-01-01 09:00:00,1.689
2009-01-01 09:15:00,1.582
2009-01-01 10:15:00,1.582
2009-01-01 10:30:00,1.481
2009-01-01 11:30:00,1.384
2009-01-01 11:45:00,1.384
2009-01-01 15:00:00,1.481
2009-01-01 15:15:00,1.481
2009-01-01 17:15:00,1.582
2009-01-01 17:30:00,1.582
2009-01-01 19:30:00,1.689
2009-01-01 19:45:00,1.689
2009-01-02 00:00:00,1.800
2009-01-02 00:15:00,1.800
2009-01-02 08:00:00,1.689
2009-01-02 08:15:00,1.689
2009-01-02 09:30:00,1.582
2009-01-02 09:45:00,1.582
2009-01-02 10:45:00,1.481
2009-01-02 11:00:00,1.384
2009-01-02 15:15:00,1.384
2009-01-02 15:30:00,1.291
2009-01-02 16:30:00,1.384
2009-01-02 16:45:00,1.384
2009-01-02 17:45:00,1.291
2009-01-02 18:00:00,1.291
2009-01-02 18:15:00,1.384
2009-01-02 18:30:00,1.384
2009-01-02 20:00:00,1.481
2009-01-02 20:15:00,1.582
2009-01-02 22:15:00,1.582
2009-01-02 22:30:00,1.689
2009-01-03 00:00:00,1.689
2009-01-03 00:15:00,1.689
2009-01-03 04:15:00,1.800
2009-01-03 04:30:00,1.800
2009-01-03 07:30:00,1.689
2009-01-03 07:45:00,1.689
2009-01-03 08:15:00,1.689
2009-01-03 08:30:00,1.582
2009-01-03 09:45:00,1.582
2009-01-03 10:00:00,1.481
2009-01-03 11:30:00,1.384
2009-01-03 11:45:00,1.384
2009-01-03 15:00:00,1.291
2009-01-03 15:15:00,1.203
2009-01-03 15:30:00,1.203
2009-01-03 15:45:00,1.119
2009-01-03 16:00:00,1.040
2009-01-03 16:15:00,0.964
2009-01-03 18:00:00,1.040
2009-01-03 18:15:00,1.040
2009-01-03 18:45:00,1.119
2009-01-03 19:00:00,1.203
2009-01-03 19:15:00,1.291
2009-01-03 19:30:00,1.291
2009-01-03 20:00:00,1.384
2009-01-03 20:15:00,1.384
2009-01-03 21:00:00,1.481
2009-01-03 21:15:00,1.481
2009-01-03 23:15:00,1.582
2009-01-03 23:30:00,1.582
2009-01-04 00:00:00,1.689
2009-01-04 00:15:00,1.689
2009-01-04 04:15:00,1.689
2009-01-04 04:30:00,1.800
2009-01-04 07:30:00,1.689
2009-01-04 07:45:00,1.689
2009-01-04 08:00:00,1.582
2009-01-04 08:15:00,1.481
2009-01-04 08:45:00,1.481
2009-01-04 09:00:00,1.384
2009-01-04 09:30:00,1.291
2009-01-04 09:45:00,1.291
2009-01-04 10:45:00,1.203
2009-01-04 11:00:00,1.203
2009-01-04 11:45:00,1.119
2009-01-04 12:00:00,1.119
2009-01-04 15:30:00,1.040
2009-01-04 15:45:00,0.964
2009-01-04 16:00:00,0.892
2009-01-04 16:15:00,0.824
2009-01-04 16:30:00,0.760
2009-01-04 16:45:00,0.760
2009-01-04 17:00:00,0.700
2009-01-04 17:15:00,0.642
2009-01-04 17:30:00,0.642
2009-01-04 17:45:00,0.588
2009-01-04 18:00:00,0.642
2009-01-04 18:45:00,0.700
2009-01-04 19:00:00,0.700
2009-01-04 19:15:00,0.700
2009-01-04 19:30:00,0.760
2009-01-04 19:45:00,0.824
2009-01-04 20:00:00,0.824
2009-01-04 20:30:00,0.892
2009-01-04 20:45:00,0.964
2009-01-04 21:15:00,1.040
2009-01-04 21:30:00,1.040
2009-01-04 22:00:00,1.119
2009-01-04 22:15:00,1.119
2009-01-04 23:00:00,1.203
2009-01-04 23:15:00,1.203
2009-01-05 00:00:00,1.291
2009-01-05 00:15:00,1.291
2009-01-05 05:30:00,1.291
2009-01-05 05:45:00,1.384
2009-01-05 06:45:00,1.291
2009-01-05 07:00:00,1.291
2009-01-05 07:30:00,1.203
2009-01-05 07:45:00,1.203
2009-01-05 08:00:00,1.119
2009-01-05 08:15:00,1.040
2009-01-05 08:30:00,0.964
2009-01-05 08:45:00,0.964
2009-01-05 09:00:00,0.892
2009-01-05 09:15:00,0.824
2009-01-05 09:30:00,0.760
2009-01-05 09:45:00,0.700
2009-01-05 10:00:00,0.700
2009-01-05 10:15:00,0.642
2009-01-05 10:45:00,0.588
2009-01-05 11:00:00,0.588
2009-01-05 12:30:00,0.538
2009-01-05 12:45:00,0.538
2009-01-05 15:15:00,0.490
2009-01-05 15:30:00,0.490
2009-01-05 17:15:00,0.446
2009-01-05 17:30:00,0.446
2009-01-05 18:45:00,0.490
2009-01-05 19:00:00,0.490
2009-01-05 19:15:00,0.490
2009-01-05 19:30:00,0.538
2009-01-05 19:45:00,0.588
2009-01-05 20:00:00,0.642
2009-01-05 20:15:00,0.642
2009-01-05 20:30:00,0.700
2009-01-05 20:45:00,0.760
2009-01-05 21:00:00,0.760
2009-01-05 21:30:00,0.824
2009-01-05 21:45:00,0.824
2009-01-05 22:15:00,0.892
2009-01-05 22:30:00,0.964
2009-01-05 23:15:00,1.040
2009-01-05 23:30:00,1.040
2009-01-06 00:00:00,1.040
2009-01-06 00:15:00,1.119
2009-01-06 01:15:00,1.203
2009-01-06 01:30:00,1.203
2009-01-06 03:15:00,1.291
2009-01-06 03:30:00,1.291
2009-01-06 05:00:00,1.384
2009-01-06 05:15:00,1.384
2009-01-06 07:00:00,1.291
2009-01-06 07:15:00,1.291
2009-01-06 07:30:00,1.203
2009-01-06 07:45:00,1.203
2009-01-06 08:00:00,1.119
2009-01-06 08:15:00,1.040
2009-01-06 08:30:00,1.040
2009-01-06 08:45:00,0.964
2009-01-06 09:15:00,0.892
