Location Names,Paso Baltasar,Paso Baltasar
Location Ids,123.0,123.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,3.94,125.02
2022-08-08 00:30:00,3.93,123.51
2022-08-08 01:00:00,3.92,122.01
2022-08-08 01:30:00,3.92,122.01
2022-08-08 02:00:00,3.91,120.52
2022-08-08 02:30:00,3.91,120.52
2022-08-08 03:00:00,3.9,119.05
2022-08-08 03:30:00,3.89,117.6
2022-08-08 04:00:00,3.89,117.6
2022-08-08 04:30:00,3.88,116.16
2022-08-08 05:00:00,3.88,116.16
2022-08-08 05:30:00,3.87,114.73
2022-08-08 06:00:00,3.87,114.73
2022-08-08 06:30:00,3.86,113.32
2022-08-08 07:00:00,3.85,111.92
2022-08-08 07:30:00,3.85,111.92
2022-08-08 08:00:00,3.84,110.54
2022-08-08 08:30:00,3.83,109.17
2022-08-08 09:00:00,3.83,109.17
2022-08-08 09:30:00,3.82,107.81
2022-08-08 10:00:00,3.81,106.47
2022-08-08 10:30:00,3.81,106.47
2022-08-08 11:00:00,3.8,105.14
2022-08-08 11:30:00,3.8,105.14
2022-08-08 12:00:00,3.79,103.82
2022-08-08 12:30:00,3.78,102.52
2022-08-08 13:00:00,3.77,101.23
2022-08-08 13:30:00,3.77,101.23
2022-08-08 14:00:00,3.76,99.96
2022-08-08 14:30:00,3.76,99.96
2022-08-08 15:00:00,3.75,98.7
2022-08-08 15:30:00,3.74,97.45
2022-08-08 16:00:00,3.74,97.45
2022-08-08 16:30:00,3.73,96.21
2022-08-08 17:00:00,3.72,94.99
2022-08-08 17:30:00,3.71,93.78
2022-08-08 18:00:00,3.7,92.58
2022-08-08 18:30:00,3.7,92.58
2022-08-08 19:00:00,3.69,91.39
2022-08-08 19:30:00,3.69,91.39
2022-08-08 20:00:00,3.68,90.22
2022-08-08 20:30:00,3.67,89.06
2022-08-08 21:00:00,3.66,87.91
2022-08-08 21:30:00,3.66,87.91
2022-08-08 22:00:00,3.65,86.77
2022-08-08 22:30:00,3.64,85.65
2022-08-08 23:00:00,3.64,85.65
2022-08-08 23:30:00,3.63,84.54
2022-08-09 00:00:00,3.62,83.43
2022-08-09 00:30:00,3.61,82.35
2022-08-09 01:00:00,3.6,81.27
2022-08-09 01:30:00,3.6,81.27
2022-08-09 02:00:00,3.59,80.2
2022-08-09 02:30:00,3.59,80.2
2022-08-09 03:00:00,3.58,79.15
2022-08-09 03:30:00,3.57,78.1
2022-08-09 04:00:00,3.56,77.07
2022-08-09 04:30:00,3.55,76.05
2022-08-09 05:00:00,3.55,76.05
2022-08-09 05:30:00,3.54,75.04
2022-08-09 06:00:00,3.53,74.04
2022-08-09 06:30:00,3.52,73.05
2022-08-09 07:00:00,3.51,72.08
2022-08-09 07:30:00,3.5,71.11
2022-08-09 08:00:00,3.49,70.15
2022-08-09 08:30:00,3.49,70.15
2022-08-09 09:00:00,3.48,69.21
2022-08-09 09:30:00,3.47,68.27
2022-08-09 10:00:00,3.46,67.35
2022-08-09 10:30:00,3.45,66.44
2022-08-09 11:00:00,3.44,65.53
2022-08-09 11:30:00,3.43,64.64
2022-08-09 12:00:00,3.42,63.75
2022-08-09 12:30:00,3.41,62.88
2022-08-09 13:00:00,3.4,62.01
2022-08-09 13:30:00,3.39,61.16
2022-08-09 14:00:00,3.38,60.31
2022-08-09 14:30:00,3.37,59.48
2022-08-09 15:00:00,3.36,58.65
2022-08-09 15:30:00,3.35,58.5
2022-08-09 16:00:00,3.34,58.17
2022-08-09 16:30:00,3.33,57.84
2022-08-09 17:00:00,3.32,57.51
2022-08-09 17:30:00,3.31,57.18
2022-08-09 18:00:00,3.29,56.53
2022-08-09 18:30:00,3.28,56.21
2022-08-09 19:00:00,3.27,55.88
2022-08-09 19:30:00,3.26,55.56
2022-08-09 20:00:00,3.24,54.92
2022-08-09 20:30:00,3.23,54.6
2022-08-09 21:00:00,3.21,53.97
2022-08-09 21:30:00,3.2,53.65
2022-08-09 22:00:00,3.18,53.02
2022-08-09 22:30:00,3.17,52.71
2022-08-09 23:00:00,3.15,52.09
2022-08-09 23:30:00,3.14,51.78
2022-08-10 00:00:00,3.12,51.16
2022-08-10 00:30:00,3.11,50.85
2022-08-10 01:00:00,3.09,50.24
2022-08-10 01:30:00,3.07,49.64
2022-08-10 02:00:00,3.05,49.03
2022-08-10 02:30:00,3.04,48.73
2022-08-10 03:00:00,3.02,48.14
2022-08-10 03:30:00,3.0,47.54
2022-08-10 04:00:00,2.98,46.95
2022-08-10 04:30:00,2.96,46.37
2022-08-10 05:00:00,2.94,45.79
2022-08-10 05:30:00,2.92,45.21
2022-08-10 06:00:00,2.9,44.64
2022-08-10 06:30:00,2.89,44.35
2022-08-10 07:00:00,2.86,43.5
2022-08-10 07:30:00,2.85,43.22
2022-08-10 08:00:00,2.82,42.38
2022-08-10 08:30:00,2.8,41.83
2022-08-10 09:00:00,2.78,41.28
2022-08-10 09:30:00,2.76,40.74
2022-08-10 10:00:00,2.74,40.19
2022-08-10 10:30:00,2.72,39.66
2022-08-10 11:00:00,2.7,39.12
2022-08-10 11:30:00,2.68,38.59
2022-08-10 12:00:00,2.66,38.07
2022-08-10 12:30:00,2.63,37.28
2022-08-10 13:00:00,2.61,36.77
2022-08-10 13:30:00,2.59,36.26
2022-08-10 14:00:00,2.57,35.75
2022-08-10 14:30:00,2.54,34.99
2022-08-10 15:00:00,2.52,34.49
2022-08-10 15:30:00,2.5,34.0
2022-08-10 16:00:00,2.47,33.26
2022-08-10 16:30:00,2.45,32.78
2022-08-10 17:00:00,2.43,32.3
2022-08-10 17:30:00,2.4,31.58
2022-08-10 18:00:00,2.38,31.11
2022-08-10 18:30:00,2.35,30.41
2022-08-10 19:00:00,2.33,29.95
2022-08-10 19:30:00,2.3,29.26
2022-08-10 20:00:00,2.28,28.81
2022-08-10 20:30:00,2.25,28.14
2022-08-10 21:00:00,2.23,27.69
2022-08-10 21:30:00,2.2,27.03
2022-08-10 22:00:00,2.18,26.6
2022-08-10 22:30:00,2.15,25.96
2022-08-10 23:00:00,2.13,25.53
2022-08-10 23:30:00,2.11,25.11
2022-08-11 00:00:00,2.08,24.49
2022-08-11 00:30:00,2.06,24.08
2022-08-11 01:00:00,2.03,23.47
2022-08-11 01:30:00,2.01,23.07
2022-08-11 02:00:00,1.99,22.67
2022-08-11 02:30:00,1.96,22.08
