Location Names,Paso Mazangano,Paso Mazangano
Location Ids,64.0,64.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,7.24,508.01
2022-08-08 00:30:00,7.25,510.28
2022-08-08 01:00:00,7.25,510.28
2022-08-08 01:30:00,7.23,505.75
2022-08-08 02:00:00,7.28,517.14
2022-08-08 02:30:00,7.31,524.07
2022-08-08 03:00:00,7.31,524.07
2022-08-08 03:30:00,7.34,531.05
2022-08-08 04:00:00,7.33,528.72
2022-08-08 04:30:00,7.35,533.39
2022-08-08 05:00:00,7.34,531.05
2022-08-08 05:30:00,7.37,538.1
2022-08-08 06:00:00,7.39,542.83
2022-08-08 06:30:00,7.39,542.83
2022-08-08 07:00:00,7.39,542.83
2022-08-08 07:30:00,7.43,552.39
2022-08-08 08:00:00,7.45,557.21
2022-08-08 08:30:00,7.45,557.21
2022-08-08 09:00:00,7.45,557.21
2022-08-08 09:30:00,7.49,566.94
2022-08-08 10:00:00,7.51,571.85
2022-08-08 10:30:00,7.51,571.85
2022-08-08 11:00:00,7.53,576.79
2022-08-08 11:30:00,7.54,579.27
2022-08-08 12:00:00,7.54,579.27
2022-08-08 12:30:00,7.55,581.75
2022-08-08 13:00:00,7.55,581.75
2022-08-08 13:30:00,7.56,584.25
2022-08-08 14:00:00,7.57,586.75
2022-08-08 14:30:00,7.6,594.3
2022-08-08 15:00:00,7.61,596.83
2022-08-08 15:30:00,7.61,596.83
2022-08-08 16:00:00,7.61,596.83
2022-08-08 16:30:00,7.63,601.91
2022-08-08 17:00:00,7.64,604.47
2022-08-08 17:30:00,7.65,607.03
2022-08-08 18:00:00,7.66,609.6
2022-08-08 18:30:00,7.65,607.03
2022-08-08 19:00:00,7.67,612.17
2022-08-08 19:30:00,7.67,612.17
2022-08-08 20:00:00,7.67,612.17
2022-08-08 20:30:00,7.69,617.35
2022-08-08 21:00:00,7.69,617.35
2022-08-08 21:30:00,7.7,619.95
2022-08-08 22:00:00,7.69,617.35
2022-08-08 22:30:00,7.71,622.55
2022-08-08 23:00:00,7.7,619.95
2022-08-08 23:30:00,7.71,622.55
2022-08-09 00:00:00,7.72,625.16
2022-08-09 00:30:00,7.71,622.55
2022-08-09 01:00:00,7.73,627.79
2022-08-09 01:30:00,7.73,627.79
2022-08-09 02:00:00,7.72,625.16
2022-08-09 02:30:00,7.72,625.16
2022-08-09 03:00:00,7.73,627.79
2022-08-09 03:30:00,7.74,630.41
2022-08-09 04:00:00,7.74,630.41
2022-08-09 04:30:00,7.72,625.16
2022-08-09 05:00:00,7.72,625.16
2022-08-09 05:30:00,7.74,630.41
2022-08-09 06:00:00,7.73,627.79
2022-08-09 06:30:00,7.73,627.79
2022-08-09 07:00:00,7.72,625.16
2022-08-09 07:30:00,7.74,630.41
2022-08-09 08:00:00,7.73,627.79
2022-08-09 08:30:00,7.74,630.41
2022-08-09 09:00:00,7.73,627.79
2022-08-09 09:30:00,7.73,627.79
2022-08-09 10:00:00,7.73,627.79
2022-08-09 10:30:00,7.73,627.79
2022-08-09 11:00:00,7.73,627.79
2022-08-09 11:30:00,7.72,625.16
2022-08-09 12:00:00,7.72,625.16
2022-08-09 12:30:00,7.72,625.16
2022-08-09 13:00:00,7.71,622.55
2022-08-09 13:30:00,7.71,622.55
2022-08-09 14:00:00,7.71,622.55
2022-08-09 14:30:00,7.7,619.95
2022-08-09 15:00:00,7.71,622.55
2022-08-09 15:30:00,7.69,617.35
2022-08-09 16:00:00,7.7,619.95
2022-08-09 16:30:00,7.7,619.95
2022-08-09 17:00:00,7.68,614.76
2022-08-09 17:30:00,7.69,617.35
2022-08-09 18:00:00,7.68,614.76
2022-08-09 18:30:00,7.68,614.76
2022-08-09 19:00:00,7.67,612.17
2022-08-09 19:30:00,7.67,612.17
2022-08-09 20:00:00,7.67,612.17
2022-08-09 20:30:00,7.65,607.03
2022-08-09 21:00:00,7.66,609.6
2022-08-09 21:30:00,7.65,607.03
2022-08-09 22:00:00,7.64,604.47
2022-08-09 22:30:00,7.65,607.03
2022-08-09 23:00:00,7.65,607.03
2022-08-09 23:30:00,7.62,599.37
2022-08-10 00:00:00,7.63,601.91
2022-08-10 00:30:00,7.61,596.83
2022-08-10 01:00:00,7.62,599.37
2022-08-10 01:30:00,7.59,591.77
2022-08-10 02:00:00,7.59,591.77
2022-08-10 02:30:00,7.6,594.3
2022-08-10 03:00:00,7.6,594.3
2022-08-10 03:30:00,7.58,589.26
2022-08-10 04:00:00,7.59,591.77
2022-08-10 04:30:00,7.59,591.77
2022-08-10 05:00:00,7.56,584.25
2022-08-10 05:30:00,7.57,586.75
2022-08-10 06:00:00,7.57,586.75
2022-08-10 06:30:00,7.56,584.25
2022-08-10 07:00:00,7.56,584.25
2022-08-10 07:30:00,7.55,581.75
2022-08-10 08:00:00,7.54,579.27
2022-08-10 08:30:00,7.54,579.27
2022-08-10 09:00:00,7.54,579.27
2022-08-10 09:30:00,7.53,576.79
2022-08-10 10:00:00,7.52,574.31
2022-08-10 10:30:00,7.53,576.79
2022-08-10 11:00:00,7.51,571.85
2022-08-10 11:30:00,7.5,569.39
2022-08-10 12:00:00,7.49,566.94
2022-08-10 12:30:00,7.48,564.5
2022-08-10 13:00:00,7.49,566.94
