Location Names,Paso Pache (R.5 Nueva),Paso Pache (R.5 Nueva)
Location Ids,59.1,59.1
Time,H.obs,Q.obs
2022-08-08 00:00:00,-0.07,12.67
2022-08-08 00:30:00,-0.07,12.67
2022-08-08 01:00:00,-0.07,12.67
2022-08-08 01:30:00,-0.07,12.67
2022-08-08 02:00:00,-0.07,12.67
2022-08-08 02:30:00,-0.07,12.67
2022-08-08 03:00:00,-0.08,12.2
2022-08-08 03:30:00,-0.07,12.67
2022-08-08 04:00:00,-0.08,12.2
2022-08-08 04:30:00,-0.08,12.2
2022-08-08 05:00:00,-0.08,12.2
2022-08-08 05:30:00,-0.08,12.2
2022-08-08 06:00:00,-0.08,12.2
2022-08-08 06:30:00,-0.08,12.2
2022-08-08 07:00:00,-0.08,12.2
2022-08-08 07:30:00,-0.08,12.2
2022-08-08 08:00:00,-0.08,12.2
2022-08-08 08:30:00,-0.08,12.2
2022-08-08 09:00:00,-0.09,11.73
2022-08-08 09:30:00,-0.09,11.73
2022-08-08 10:00:00,-0.09,11.73
2022-08-08 10:30:00,-0.09,11.73
2022-08-08 11:00:00,-0.09,11.73
2022-08-08 11:30:00,-0.09,11.73
2022-08-08 12:00:00,-0.09,11.73
2022-08-08 12:30:00,-0.09,11.73
2022-08-08 13:00:00,-0.09,11.73
2022-08-08 13:30:00,-0.09,11.73
2022-08-08 14:00:00,-0.1,11.28
2022-08-08 14:30:00,-0.1,11.28
2022-08-08 15:00:00,-0.09,11.73
2022-08-08 15:30:00,-0.1,11.28
2022-08-08 16:00:00,-0.09,11.73
2022-08-08 16:30:00,-0.09,11.73
2022-08-08 17:00:00,-0.1,11.28
2022-08-08 17:30:00,-0.1,11.28
2022-08-08 18:00:00,-0.1,11.28
2022-08-08 18:30:00,-0.1,11.28
2022-08-08 19:00:00,-0.1,11.28
2022-08-08 19:30:00,-0.1,11.28
2022-08-08 20:00:00,-0.1,11.28
2022-08-08 20:30:00,-0.1,11.28
2022-08-08 21:00:00,-0.11,10.84
2022-08-08 21:30:00,-0.11,10.84
2022-08-08 22:00:00,-0.11,10.84
2022-08-08 22:30:00,-0.11,10.84
2022-08-08 23:00:00,-0.11,10.84
2022-08-08 23:30:00,-0.11,10.84
2022-08-09 00:00:00,-0.11,10.84
2022-08-09 00:30:00,-0.11,10.84
2022-08-09 01:00:00,-0.12,10.41
2022-08-09 01:30:00,-0.12,10.41
2022-08-09 02:00:00,-0.12,10.41
2022-08-09 02:30:00,-0.12,10.41
2022-08-09 03:00:00,-0.12,10.41
2022-08-09 03:30:00,-0.12,10.41
2022-08-09 04:00:00,-0.12,10.41
2022-08-09 04:30:00,-0.12,10.41
2022-08-09 05:00:00,-0.12,10.41
2022-08-09 05:30:00,-0.12,10.41
2022-08-09 06:00:00,-0.12,10.41
2022-08-09 06:30:00,-0.13,10.0
2022-08-09 07:00:00,-0.12,10.41
2022-08-09 07:30:00,-0.13,10.0
2022-08-09 08:00:00,-0.13,10.0
2022-08-09 08:30:00,-0.13,10.0
2022-08-09 09:00:00,-0.13,10.0
2022-08-09 09:30:00,-0.13,10.0
2022-08-09 10:00:00,-0.13,10.0
2022-08-09 10:30:00,-0.13,10.0
2022-08-09 11:00:00,-0.13,10.0
2022-08-09 11:30:00,-0.13,10.0
2022-08-09 12:00:00,-0.13,10.0
2022-08-09 12:30:00,-0.13,10.0
2022-08-09 13:00:00,-0.14,9.59
2022-08-09 13:30:00,-0.13,10.0
2022-08-09 14:00:00,-0.13,10.0
2022-08-09 14:30:00,-0.14,9.59
2022-08-09 15:00:00,-0.13,10.0
2022-08-09 15:30:00,-0.14,9.59
2022-08-09 16:00:00,-0.14,9.59
2022-08-09 16:30:00,-0.13,10.0
2022-08-09 17:00:00,-0.14,9.59
