Location Names,Po. de la Compañía,Po. de la Compañía
Location Ids,61.0,61.0
Time,H.obs,Q.obs
2022-08-08 00:00:00,2.12,44.19
2022-08-08 00:30:00,2.11,43.88
2022-08-08 01:00:00,2.08,42.95
2022-08-08 01:30:00,2.05,42.03
2022-08-08 02:00:00,2.03,41.41
2022-08-08 02:30:00,2.01,40.8
2022-08-08 03:00:00,1.99,40.19
2022-08-08 03:30:00,1.98,39.89
2022-08-08 04:00:00,1.95,38.98
2022-08-08 04:30:00,1.94,38.67
2022-08-08 05:00:00,1.92,38.07
2022-08-08 05:30:00,1.9,37.47
2022-08-08 06:00:00,1.89,37.17
2022-08-08 06:30:00,1.87,36.57
2022-08-08 07:00:00,1.85,35.98
2022-08-08 07:30:00,1.84,35.68
2022-08-08 08:00:00,1.82,35.09
2022-08-08 08:30:00,1.8,34.5
2022-08-08 09:00:00,1.79,34.2
2022-08-08 09:30:00,1.78,33.91
2022-08-08 10:00:00,1.77,33.61
2022-08-08 10:30:00,1.75,33.03
2022-08-08 11:00:00,1.75,33.03
2022-08-08 11:30:00,1.73,32.45
2022-08-08 12:00:00,1.73,32.45
2022-08-08 12:30:00,1.71,31.87
2022-08-08 13:00:00,1.7,31.58
2022-08-08 13:30:00,1.69,31.29
2022-08-08 14:00:00,1.68,31.0
2022-08-08 14:30:00,1.67,30.71
2022-08-08 15:00:00,1.66,30.43
2022-08-08 15:30:00,1.65,30.14
2022-08-08 16:00:00,1.64,29.85
2022-08-08 16:30:00,1.63,29.57
2022-08-08 17:00:00,1.62,29.28
2022-08-08 17:30:00,1.6,28.72
2022-08-08 18:00:00,1.6,28.72
2022-08-08 18:30:00,1.59,28.43
2022-08-08 19:00:00,1.57,27.87
2022-08-08 19:30:00,1.57,27.87
2022-08-08 20:00:00,1.56,27.59
2022-08-08 20:30:00,1.56,27.59
2022-08-08 21:00:00,1.54,27.03
2022-08-08 21:30:00,1.54,27.03
2022-08-08 22:00:00,1.53,26.75
2022-08-08 22:30:00,1.52,26.47
2022-08-08 23:00:00,1.51,26.2
2022-08-08 23:30:00,1.51,26.2
2022-08-09 00:00:00,1.5,25.92
2022-08-09 00:30:00,1.49,25.64
2022-08-09 01:00:00,1.48,25.37
2022-08-09 01:30:00,1.47,25.09
2022-08-09 02:00:00,1.47,25.09
2022-08-09 02:30:00,1.46,24.82
2022-08-09 03:00:00,1.45,24.54
2022-08-09 03:30:00,1.45,24.54
2022-08-09 04:00:00,1.44,24.27
2022-08-09 04:30:00,1.43,24.0
2022-08-09 05:00:00,1.42,23.73
2022-08-09 05:30:00,1.41,23.45
2022-08-09 06:00:00,1.41,23.45
2022-08-09 06:30:00,1.4,23.18
2022-08-09 07:00:00,1.4,23.18
2022-08-09 07:30:00,1.4,23.18
2022-08-09 08:00:00,1.38,22.65
2022-08-09 08:30:00,1.38,22.65
2022-08-09 09:00:00,1.37,22.38
2022-08-09 09:30:00,1.37,22.38
2022-08-09 10:00:00,1.36,22.11
2022-08-09 10:30:00,1.35,21.84
2022-08-09 11:00:00,1.34,21.58
2022-08-09 11:30:00,1.34,21.58
2022-08-09 12:00:00,1.34,21.58
2022-08-09 12:30:00,1.32,21.05
2022-08-09 13:00:00,1.32,21.05
2022-08-09 13:30:00,1.32,21.05
2022-08-09 14:00:00,1.3,20.52
2022-08-09 14:30:00,1.31,20.78
2022-08-09 15:00:00,1.3,20.52
2022-08-09 15:30:00,1.3,20.52
2022-08-09 16:00:00,1.29,20.26
2022-08-09 16:30:00,1.28,19.99
2022-08-09 17:00:00,1.28,19.99
2022-08-09 17:30:00,1.27,19.73
