Location Names,Paso Aguiar,Paso Aguiar
Location Ids,65.1,65.1
Time,H.obs,Q.obs
2022-08-23 00:00:00,3.39,67.71
2022-08-23 00:30:00,3.4,68.2
2022-08-23 01:00:00,3.4,68.2
2022-08-23 01:30:00,3.4,68.2
2022-08-23 02:00:00,3.4,68.2
2022-08-23 02:30:00,3.4,68.2
2022-08-23 03:00:00,3.41,68.7
2022-08-23 03:30:00,3.41,68.7
2022-08-23 04:00:00,3.41,68.7
2022-08-23 04:30:00,3.41,68.7
2022-08-23 05:00:00,3.41,68.7
2022-08-23 05:30:00,3.42,69.2
2022-08-23 06:00:00,3.42,69.2
2022-08-23 06:30:00,3.42,69.2
2022-08-23 07:00:00,3.43,69.7
2022-08-23 07:30:00,3.43,69.7
2022-08-23 08:00:00,3.43,69.7
2022-08-23 08:30:00,3.43,69.7
2022-08-23 09:00:00,3.44,70.2
2022-08-23 09:30:00,3.44,70.2
2022-08-23 10:00:00,3.44,70.2
2022-08-23 10:30:00,3.44,70.2
2022-08-23 11:00:00,3.44,70.2
2022-08-23 11:30:00,3.44,70.2
2022-08-23 12:00:00,3.45,70.7
2022-08-23 12:30:00,3.45,70.7
2022-08-23 13:00:00,3.45,70.7
2022-08-23 13:30:00,3.45,70.7
2022-08-23 14:00:00,3.46,71.21
2022-08-23 14:30:00,3.46,71.21
2022-08-23 15:00:00,3.46,71.21
2022-08-23 15:30:00,3.46,71.21
2022-08-23 16:00:00,3.47,71.72
2022-08-23 16:30:00,3.47,71.72
2022-08-23 17:00:00,3.47,71.72
2022-08-23 17:30:00,3.47,71.72
2022-08-23 18:00:00,3.47,71.72
2022-08-23 18:30:00,3.48,72.23
2022-08-23 19:00:00,3.48,72.23
2022-08-23 19:30:00,3.48,72.23
2022-08-23 20:00:00,3.48,72.23
2022-08-23 20:30:00,3.48,72.23
2022-08-23 21:00:00,3.49,72.74
2022-08-23 21:30:00,3.49,72.74
2022-08-23 22:00:00,3.49,72.74
2022-08-23 22:30:00,3.49,72.74
2022-08-23 23:00:00,3.49,72.74
2022-08-23 23:30:00,3.5,73.25
2022-08-24 00:00:00,3.5,73.25
2022-08-24 00:30:00,3.5,73.25
2022-08-24 01:00:00,3.5,73.25
2022-08-24 01:30:00,3.51,73.77
2022-08-24 02:00:00,3.51,73.77
2022-08-24 02:30:00,3.51,73.77
2022-08-24 03:00:00,3.51,73.77
2022-08-24 03:30:00,3.51,73.77
2022-08-24 04:00:00,3.51,73.77
2022-08-24 04:30:00,3.52,74.28
2022-08-24 05:00:00,3.52,74.28
2022-08-24 05:30:00,3.52,74.28
2022-08-24 06:00:00,3.52,74.28
2022-08-24 06:30:00,3.52,74.28
2022-08-24 07:00:00,3.52,74.28
2022-08-24 07:30:00,3.52,74.28
2022-08-24 08:00:00,3.53,74.8
2022-08-24 08:30:00,3.53,74.8
2022-08-24 09:00:00,3.53,74.8
2022-08-24 09:30:00,3.53,74.8
2022-08-24 10:00:00,3.53,74.8
2022-08-24 10:30:00,3.54,75.32
2022-08-24 11:00:00,3.54,75.32
2022-08-24 11:30:00,3.54,75.32
2022-08-24 12:00:00,3.54,75.32
2022-08-24 12:30:00,3.54,75.32
2022-08-24 13:00:00,3.54,75.32
2022-08-24 13:30:00,3.54,75.32
2022-08-24 14:00:00,3.54,75.32
2022-08-24 14:30:00,3.54,75.32
2022-08-24 15:00:00,3.55,75.84
2022-08-24 15:30:00,3.55,75.84
2022-08-24 16:00:00,3.55,75.84
2022-08-24 16:30:00,3.55,75.84
2022-08-24 17:00:00,3.55,75.84
2022-08-24 17:30:00,3.55,75.84
2022-08-24 18:00:00,3.55,75.84
2022-08-24 18:30:00,3.55,75.84
2022-08-24 19:00:00,3.55,75.84
2022-08-24 19:30:00,3.55,75.84
2022-08-24 20:00:00,3.55,75.84
2022-08-24 20:30:00,3.56,76.37
2022-08-24 21:00:00,3.56,76.37
2022-08-24 21:30:00,3.56,76.37
2022-08-24 22:00:00,3.56,76.37
2022-08-24 22:30:00,3.56,76.37
2022-08-24 23:00:00,3.56,76.37
2022-08-24 23:30:00,3.56,76.37
2022-08-25 00:00:00,3.56,76.37
2022-08-25 00:30:00,3.56,76.37
2022-08-25 01:00:00,3.56,76.37
2022-08-25 01:30:00,3.56,76.37
2022-08-25 02:00:00,3.56,76.37
2022-08-25 02:30:00,3.56,76.37
2022-08-25 03:00:00,3.56,76.37
2022-08-25 03:30:00,3.56,76.37
2022-08-25 04:00:00,3.56,76.37
2022-08-25 04:30:00,3.56,76.37
2022-08-25 05:00:00,3.56,76.37
2022-08-25 05:30:00,3.56,76.37
2022-08-25 06:00:00,3.56,76.37
2022-08-25 06:30:00,3.56,76.37
2022-08-25 07:00:00,3.56,76.37
2022-08-25 07:30:00,3.56,76.37
2022-08-25 08:00:00,3.56,76.37
2022-08-25 08:30:00,3.56,76.37
2022-08-25 09:00:00,3.56,76.37
2022-08-25 09:30:00,3.56,76.37
2022-08-25 10:00:00,3.55,75.84
2022-08-25 10:30:00,3.56,76.37
2022-08-25 11:00:00,3.55,75.84
2022-08-25 11:30:00,3.55,75.84
2022-08-25 12:00:00,3.55,75.84
