Location Names,Paso Andrés Pérez,Paso Andrés Pérez
Location Ids,82.0,82.0
Time,H.obs,Q.obs
2022-08-27 08:00:00,1.22,11.0
2022-08-27 08:30:00,1.22,11.0
2022-08-27 09:00:00,1.23,11.21
2022-08-27 09:30:00,1.23,11.21
2022-08-27 10:00:00,1.24,11.42
2022-08-27 10:30:00,1.25,11.63
2022-08-27 11:00:00,1.25,11.63
2022-08-27 11:30:00,1.27,12.06
2022-08-27 12:00:00,1.28,12.28
2022-08-27 12:30:00,1.3,12.71
2022-08-27 13:00:00,1.31,12.94
2022-08-27 13:30:00,1.33,13.38
2022-08-27 14:00:00,1.36,14.06
2022-08-27 14:30:00,1.39,14.76
2022-08-27 15:00:00,1.42,15.46
2022-08-27 15:30:00,1.45,16.19
2022-08-27 16:00:00,1.48,16.92
2022-08-27 16:30:00,1.52,17.92
2022-08-27 17:00:00,1.55,18.68
2022-08-27 17:30:00,1.58,19.46
2022-08-27 18:00:00,1.61,20.25
2022-08-27 18:30:00,1.63,20.79
2022-08-27 19:00:00,1.66,21.6
2022-08-27 19:30:00,1.68,22.15
2022-08-27 20:00:00,1.7,22.7
2022-08-27 20:30:00,1.71,22.98
2022-08-27 21:00:00,1.72,23.26
2022-08-27 21:30:00,1.73,23.54
2022-08-27 22:00:00,1.74,23.82
2022-08-27 22:30:00,1.74,23.82
2022-08-27 23:00:00,1.74,23.82
2022-08-27 23:30:00,1.74,23.82
2022-08-28 00:00:00,1.74,23.82
2022-08-28 00:30:00,1.74,23.82
2022-08-28 01:00:00,1.74,23.82
2022-08-28 01:30:00,1.74,23.82
2022-08-28 02:00:00,1.74,23.82
2022-08-28 02:30:00,1.74,23.82
2022-08-28 03:00:00,1.74,23.82
2022-08-28 03:30:00,1.74,23.82
2022-08-28 04:00:00,1.74,23.82
2022-08-28 04:30:00,1.75,24.11
2022-08-28 05:00:00,1.76,24.39
2022-08-28 05:30:00,1.77,24.68
2022-08-28 06:00:00,1.78,24.97
2022-08-28 06:30:00,1.8,25.55
2022-08-28 07:00:00,1.81,25.84
2022-08-28 07:30:00,1.83,26.43
2022-08-28 08:00:00,1.86,27.33
2022-08-28 08:30:00,1.88,27.93
2022-08-28 09:00:00,1.91,28.84
2022-08-28 09:30:00,1.93,29.46
2022-08-28 10:00:00,1.96,30.39
2022-08-28 10:30:00,1.99,31.33
2022-08-28 11:00:00,2.01,31.97
2022-08-28 11:30:00,2.03,32.61
2022-08-28 12:00:00,2.06,33.58
2022-08-28 12:30:00,2.07,33.91
2022-08-28 13:00:00,2.09,34.57
2022-08-28 13:30:00,2.11,35.23
2022-08-28 14:00:00,2.12,35.56
2022-08-28 14:30:00,2.13,35.9
2022-08-28 15:00:00,2.14,36.23
2022-08-28 15:30:00,2.15,36.57
2022-08-28 16:00:00,2.15,36.57
2022-08-28 16:30:00,2.15,36.57
2022-08-28 17:00:00,2.15,36.57
2022-08-28 17:30:00,2.15,36.57
2022-08-28 18:00:00,2.15,36.57
2022-08-28 18:30:00,2.14,36.23
2022-08-28 19:00:00,2.13,35.9
2022-08-28 19:30:00,2.12,35.56
2022-08-28 20:00:00,2.11,35.23
2022-08-28 20:30:00,2.1,34.9
2022-08-28 21:00:00,2.09,34.57
2022-08-28 21:30:00,2.07,33.91
2022-08-28 22:00:00,2.06,33.58
2022-08-28 22:30:00,2.05,33.26
2022-08-28 23:00:00,2.03,32.61
2022-08-28 23:30:00,2.01,31.97
2022-08-29 00:00:00,2.0,31.65
2022-08-29 00:30:00,1.98,31.02
2022-08-29 01:00:00,1.97,30.7
2022-08-29 01:30:00,1.95,30.08
2022-08-29 02:00:00,1.94,29.77
2022-08-29 02:30:00,1.92,29.15
2022-08-29 03:00:00,1.9,28.54
2022-08-29 03:30:00,1.89,28.23
2022-08-29 04:00:00,1.87,27.63
2022-08-29 04:30:00,1.86,27.33
2022-08-29 05:00:00,1.84,26.73
2022-08-29 05:30:00,1.83,26.43
2022-08-29 06:00:00,1.81,25.84
2022-08-29 06:30:00,1.8,25.55
2022-08-29 07:00:00,1.79,25.26
2022-08-29 07:30:00,1.77,24.68
2022-08-29 08:00:00,1.76,24.39
2022-08-29 08:30:00,1.75,24.11
2022-08-29 09:00:00,1.74,23.82
2022-08-29 09:30:00,1.73,23.54
2022-08-29 10:00:00,1.72,23.26
2022-08-29 10:30:00,1.7,22.7
2022-08-29 11:00:00,1.69,22.42
2022-08-29 11:30:00,1.68,22.15
2022-08-29 12:00:00,1.67,21.87
2022-08-29 12:30:00,1.66,21.6
2022-08-29 13:00:00,1.65,21.33
2022-08-29 13:30:00,1.65,21.33
2022-08-29 14:00:00,1.64,21.06
2022-08-29 14:30:00,1.63,20.79
2022-08-29 15:00:00,1.62,20.52
2022-08-29 15:30:00,1.61,20.25
2022-08-29 16:00:00,1.6,19.99
2022-08-29 16:30:00,1.6,19.99
2022-08-29 17:00:00,1.59,19.72
2022-08-29 17:30:00,1.58,19.46
