Location Names,Paso Roldán,Paso Roldán
Location Ids,117.0,117.0
Time,H.obs,Q.obs
2022-08-23 00:00:00,3.25,2.77
2022-08-23 00:30:00,3.25,2.77
2022-08-23 01:00:00,3.25,2.77
2022-08-23 01:30:00,3.25,2.77
2022-08-23 02:00:00,3.25,2.77
2022-08-23 02:30:00,3.25,2.77
2022-08-23 03:00:00,3.25,2.77
2022-08-23 03:30:00,3.24,2.67
2022-08-23 04:00:00,3.25,2.77
2022-08-23 04:30:00,3.25,2.77
2022-08-23 05:00:00,3.25,2.77
2022-08-23 05:30:00,3.25,2.77
2022-08-23 06:00:00,3.24,2.67
2022-08-23 06:30:00,3.25,2.77
2022-08-23 07:00:00,3.25,2.77
2022-08-23 07:30:00,3.24,2.67
2022-08-23 08:00:00,3.25,2.77
2022-08-23 08:30:00,3.25,2.77
2022-08-23 09:00:00,3.25,2.77
2022-08-23 09:30:00,3.25,2.77
2022-08-23 10:00:00,3.25,2.77
2022-08-23 10:30:00,3.25,2.77
2022-08-23 11:00:00,3.25,2.77
2022-08-23 11:30:00,3.25,2.77
2022-08-23 12:00:00,3.26,2.88
2022-08-23 12:30:00,3.26,2.88
2022-08-23 13:00:00,3.26,2.88
2022-08-23 13:30:00,3.25,2.77
2022-08-23 14:00:00,3.26,2.88
2022-08-23 14:30:00,3.24,2.67
2022-08-23 15:00:00,3.22,2.48
2022-08-23 15:30:00,3.24,2.67
2022-08-23 16:00:00,3.26,2.88
2022-08-23 16:30:00,3.24,2.67
2022-08-23 17:00:00,3.26,2.88
2022-08-23 17:30:00,3.24,2.67
2022-08-23 18:00:00,3.27,2.98
2022-08-23 18:30:00,3.23,2.57
2022-08-23 19:00:00,3.26,2.88
2022-08-23 19:30:00,3.24,2.67
2022-08-23 20:00:00,3.25,2.77
2022-08-23 20:30:00,3.26,2.88
2022-08-23 21:00:00,3.26,2.88
2022-08-23 21:30:00,3.26,2.88
2022-08-23 22:00:00,3.26,2.88
2022-08-23 22:30:00,3.24,2.67
2022-08-23 23:00:00,3.26,2.88
2022-08-23 23:30:00,3.25,2.77
2022-08-24 00:00:00,3.25,2.77
2022-08-24 00:30:00,3.23,2.57
2022-08-24 01:00:00,3.25,2.77
2022-08-24 01:30:00,3.25,2.77
2022-08-24 02:00:00,3.27,2.98
2022-08-24 02:30:00,3.25,2.77
2022-08-24 03:00:00,3.26,2.88
2022-08-24 03:30:00,3.25,2.77
2022-08-24 04:00:00,3.25,2.77
2022-08-24 04:30:00,3.25,2.77
2022-08-24 05:00:00,3.24,2.67
2022-08-24 05:30:00,3.25,2.77
2022-08-24 06:00:00,3.24,2.67
2022-08-24 06:30:00,3.24,2.67
2022-08-24 07:00:00,3.24,2.67
2022-08-24 07:30:00,3.24,2.67
2022-08-24 08:00:00,3.24,2.67
2022-08-24 08:30:00,3.25,2.77
2022-08-24 09:00:00,3.24,2.67
2022-08-24 09:30:00,3.24,2.67
2022-08-24 10:00:00,3.24,2.67
2022-08-24 10:30:00,3.24,2.67
2022-08-24 11:00:00,3.25,2.77
2022-08-24 11:30:00,3.25,2.77
2022-08-24 12:00:00,3.24,2.67
2022-08-24 12:30:00,3.25,2.77
2022-08-24 13:00:00,3.25,2.77
2022-08-24 13:30:00,3.23,2.57
2022-08-24 14:00:00,3.26,2.88
2022-08-24 14:30:00,3.24,2.67
2022-08-24 15:00:00,3.25,2.77
2022-08-24 15:30:00,3.25,2.77
2022-08-24 16:00:00,3.25,2.77
2022-08-24 16:30:00,3.25,2.77
2022-08-24 17:00:00,3.23,2.57
2022-08-24 17:30:00,3.27,2.98
2022-08-24 18:00:00,3.26,2.88
2022-08-25 00:30:00,3.25,2.77
2022-08-25 01:00:00,3.24,2.67
2022-08-25 01:30:00,3.24,2.67
2022-08-25 02:00:00,3.22,2.48
2022-08-25 02:30:00,3.26,2.88
2022-08-25 03:00:00,3.24,2.67
2022-08-25 03:30:00,3.23,2.57
2022-08-25 04:00:00,3.25,2.77
2022-08-25 04:30:00,3.24,2.67
2022-08-25 05:00:00,3.23,2.57
2022-08-25 05:30:00,3.24,2.67
2022-08-25 06:00:00,3.24,2.67
2022-08-25 06:30:00,3.24,2.67
2022-08-25 07:00:00,3.24,2.67
2022-08-25 07:30:00,3.24,2.67
2022-08-25 08:00:00,3.25,2.77
2022-08-25 08:30:00,3.24,2.67
2022-08-25 09:00:00,3.24,2.67
2022-08-25 09:30:00,3.25,2.77
2022-08-25 10:00:00,3.24,2.67
2022-08-25 10:30:00,3.25,2.77
2022-08-25 11:00:00,3.27,2.98
2022-08-25 11:30:00,3.24,2.67
2022-08-25 12:00:00,3.25,2.77
2022-08-25 12:30:00,3.25,2.77
2022-08-25 13:00:00,3.24,2.67
2022-08-25 13:30:00,3.25,2.77
2022-08-25 14:00:00,3.24,2.67
2022-08-25 14:30:00,3.26,2.88
2022-08-25 15:00:00,3.24,2.67
2022-08-25 15:30:00,3.24,2.67
2022-08-25 16:00:00,3.25,2.77
2022-08-25 16:30:00,3.28,3.09
2022-08-25 17:00:00,3.25,2.77
2022-08-25 17:30:00,3.26,2.88
2022-08-25 18:00:00,3.25,2.77
2022-08-26 00:30:00,3.24,2.67
2022-08-26 01:00:00,3.24,2.67
2022-08-26 01:30:00,3.25,2.77
2022-08-26 02:00:00,3.23,2.57
2022-08-26 02:30:00,3.23,2.57
2022-08-26 03:00:00,3.24,2.67
2022-08-26 03:30:00,3.24,2.67
2022-08-26 04:00:00,3.26,2.88
2022-08-26 04:30:00,3.24,2.67
2022-08-26 05:00:00,3.23,2.57
2022-08-26 05:30:00,3.24,2.67
2022-08-26 06:00:00,3.24,2.67
2022-08-26 06:30:00,3.23,2.57
2022-08-26 07:00:00,3.23,2.57
2022-08-26 07:30:00,3.22,2.48
