N_Oficial;N_DinaguaWS;N_UTEWSH;N_UTEWSP;Nombre_estacion;Institucion;latitude;longitude;Tipo_estacion;Parametros_medidos;Resolucion_temporal
INUMET-1000;INUMET-1000;;;Colonia Manuel Victoria;INUMET;-33.725;-57.533;Automatica;P;5 min
INUMET-2000;INUMET-2000;;;El Tala;INUMET;-33.218;-57.421;Automatica;P;5 min
INUMET-3000;INUMET-3000;;;Montecoral;INUMET;-33.527;-55.727;Automatica;P;5 min
INUMET-4000;INUMET-4000;;;Parque Policial Solymar;INUMET;-34.824;-55.959;Automatica;P;5 min
INUMET-5000;INUMET-5000;;;San Ramón;INUMET;-34.303;-55.961;Automatica;P;5 min
INUMET-6000;INUMET-6000;;;Santa Teresa;INUMET;-33.999;-53.554;Automatica;P;5 min
INUMET-7000;INUMET-7000;;;Sauce;INUMET;-34.634;-55.959;Automatica;P;5 min
INUMET-1;INUMET-1;;;18 de Julio;INUMET;-33.720;-53.550;Convencional;P;Diaria
INUMET-10;INUMET-10;;;Andresito;INUMET;-33.170;-57.130;Convencional - Automatica;P;Diaria y 5 min
INUMET-100;INUMET-100;;;El Águila;INUMET;-33.040;-57.275;Automatica;P;5 min
INUMET-102;INUMET-102;;;El Cerro;INUMET;-33.980;-58.230;Convencional - Automatica;P;Diaria y 5 min
INUMET-103;INUMET-103;;;El Molino;INUMET;-31.710;-56.000;Convencional;P;Diaria
INUMET-104;INUMET-104;;;El Palmar;INUMET;-33.070;-57.460;Convencional;P;Diaria
INUMET-106;INUMET-106;;;El Topador;INUMET;-30.300;-56.820;Convencional;P;Diaria
INUMET-108;INUMET-108;;;Estación Ataques;INUMET;-31.090;-55.690;Convencional;P;Diaria
INUMET-109;INUMET-109;;;Florencio Sanchez;INUMET;-33.880;-57.370;Convencional;P;Diaria
INUMET-110;INUMET-110;;;Florida;INUMET;-34.090;-56.190;Convencional - Automatica;P;Diaria y 5 min
INUMET-111;INUMET-111;;;Fraile Muerto;INUMET;-32.512;-54.524;Automatica;P;5 min
INUMET-112;INUMET-112;;;Fray Bentos;INUMET;-33.130;-58.300;Convencional;P;Diaria
INUMET-113;INUMET-113;;;Fray Marcos;INUMET;-34.200;-55.730;Convencional;P;Diaria
INUMET-114;INUMET-114;;;Garzón;INUMET;-34.590;-54.550;Convencional - Automatica;P;Diaria y 5 min
INUMET-115;INUMET-115;;;Goñi;INUMET;-33.520;-56.410;Convencional;P;Diaria
INUMET-12;INUMET-12;;;Arbolito;INUMET;-32.610;-54.210;Convencional - Automatica;P;Diaria y 5 min
INUMET-120;INUMET-120;;;Isla Patrulla;INUMET;-33.000;-54.560;Convencional - Automatica;P;Diaria y 5 min
INUMET-122;INUMET-122;;;J. B. y Ordoñez;INUMET;-33.470;-55.140;Convencional;P;Diaria
INUMET-123;INUMET-123;;;Javier de Viana;INUMET;-30.430;-56.780;Convencional;P;Diaria
INUMET-125;INUMET-125;;;José P. Varela;INUMET;-33.460;-54.540;Convencional;P;Diaria
INUMET-127;INUMET-127;;;Juan Lacaze;INUMET;-34.440;-57.440;Convencional;P;Diaria
INUMET-128;INUMET-128;;;Juan Soler;INUMET;-34.320;-56.800;Convencional;P;Diaria
INUMET-129;INUMET-129;;;La Aviación;INUMET;-33.480;-56.890;Convencional;P;Diaria
INUMET-132;INUMET-132;;;La Cruz;INUMET;-33.929;-56.237;Automatica;P;5 min
INUMET-1326;INUMET-1326;;;Tacuarembó G3;INUMET;-31.710;-55.990;Convencional - Automatica;P;Diaria y 5 min
INUMET-133;INUMET-133;;;La Hilera;INUMET;-32.080;-55.660;Convencional - Automatica;P;Diaria y 5 min
INUMET-1332;INUMET-1332;;;Rivera G3;INUMET;-30.970;-55.470;Convencional - Automatica;P;Diaria y 5 min
INUMET-1333;INUMET-1333;;;Paysandú G3;INUMET;-32.350;-58.040;Convencional - Automatica;P;Diaria y 5 min
INUMET-1334;INUMET-1334;;;Lavalleja G3;INUMET;-34.340;-55.080;Convencional - Automatica;P;Diaria y 5 min
INUMET-1335;INUMET-1335;;;San Jacinto G3;INUMET;-34.510;-55.850;Convencional - Automatica;P;Diaria y 5 min
INUMET-1336;INUMET-1336;;;Melo G3;INUMET;-32.370;-54.190;Convencional - Automatica;P;Diaria y 5 min
INUMET-1337;INUMET-1337;;;Artigas G3;INUMET;-30.400;-56.510;Convencional - Automatica;P;Diaria y 5 min
INUMET-1341;INUMET-1341;;;Atlántida G3;INUMET;-34.780;-55.750;Convencional - Automatica;P;Diaria y 5 min
INUMET-1342;INUMET-1342;;;Treinta y Tres G3;INUMET;-33.200;-54.350;Convencional - Automatica;P;Diaria y 5 min
INUMET-135;INUMET-135;;;La Pedrera;INUMET;-33.530;-56.880;Convencional;P;Diaria
