Identificador de ubicación,Nombre de ubicación,Grupo de parámetros,identificador de parámetro,Nombre de parámetro,Instancia de módulo,X,Y,Tipo de series de tiempo,Tipo de valor,Paso de tiempo,Inicio,Fin,Período de tiempo,Contador marcas de tiempo,Guardar contador de marca de tiempo,Unidad,Valor mínimo,Valor máximo,Faltante,Valor de resolución,Valor de bits,Espacio de disco,Marca de tiempo del espacio de disco,Identificador blob,Contador de blob,Contador de blob ponderado,Nivel de sincronización,Expiración,Modificado,Tiempo de vida
INUMET-110,Florida,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.19,-34.09,external historical,scalar,5 minutos,2019-02-12 13:35,2022-09-07 18:20,3 y 208 d 4 h 50 m,375322,375322,mm,0.0,13.8,10 %,0.01,16,60 kB,0.16 B,,20,19,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-110,Florida,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.19,-34.09,external historical,scalar,7:00 GMT-3,1970-01-05 07:00,2022-09-01 07:00,52 y 252 d,19233,19233,mm,0.0,179.0,43 %,0.01,16,11 kB,0.6 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-113,Fray Marcos,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.73,-34.2,external historical,scalar,7:00 GMT-3,1970-01-02 07:00,2022-09-01 07:00,52 y 255 d,19236,19236,mm,0.0,190.0,27 %,0.1,16,7.6 kB,0.4 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-1334,Lavalleja G3,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.08,-34.34,external historical,scalar,5 minutos,2020-07-30 07:55,2022-08-31 23:55,2 y 32 d 16 h,219649,183409,mm,0.0,13.2,18 %,0.1,8,9.7 kB,0.054 B,,11,10.5,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-1335,San Jacinto G3,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.85,-34.51,external historical,scalar,5 minutos,2020-08-21 11:55,2022-08-31 23:55,2 y 10 d 12 h,213265,157909,mm,0.0,7.2,26 %,0.1,8,8.5 kB,0.055 B,,10,9,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-156,Marmaraja,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-54.96,-34.26,external historical,scalar,7:00 GMT-3,1970-01-02 07:00,2022-09-01 07:00,52 y 255 d,19236,19236,mm,0.0,195.0,24 %,0.01,16,9.8 kB,0.52 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-157,Mataojo,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.048,-34.637,external historical,scalar,5 minutos,2019-04-12 14:40,2022-09-07 18:30,3 y 149 d 3 h 50 m,358319,358319,mm,0.0,12.8,9 %,0.1,8,47 kB,0.13 B,,19,18,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-161,Mendoza,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.21,-34.28,external historical,scalar,5 minutos,2019-02-06 13:30,2022-09-07 18:30,3 y 214 d 5 h,377053,377053,mm,0.0,13.9,4 %,0.01,16,33 kB,0.091 B,,20,19,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-161,Mendoza,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.21,-34.28,external historical,scalar,7:00 GMT-3,1970-01-06 07:00,2022-09-01 07:00,52 y 251 d,19232,19232,mm,0.0,164.0,28 %,0.1,16,7.8 kB,0.41 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-227,Reboledo,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.65,-34,external historical,scalar,7:00 GMT-3,1970-01-04 07:00,2022-09-01 07:00,52 y 253 d,19234,19234,mm,0.0,230.0,38 %,0.1,16,7.0 kB,0.37 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-23,Barriga Negra,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.06,-33.96,external historical,scalar,5 minutos,2019-03-13 18:00,2022-09-07 18:10,3 y 179 d 10 m,366915,338639,mm,0.0,13.4,11 %,0.1,8,30 kB,0.092 B,,18,17,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-23,Barriga Negra,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.06,-33.96,external historical,scalar,7:00 GMT-3,1970-01-06 07:00,2022-09-01 07:00,52 y 251 d,19232,19232,mm,0.0,209.0,27 %,0.01,16,9.6 kB,0.51 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-240,San Antonio,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.08,-34.45,external historical,scalar,7:00 GMT-3,1980-03-16 07:00,2022-09-01 07:00,42 y 179 d,15510,15510,mm,0.0,201.0,16 %,0.1,16,5.7 kB,0.37 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-243,San Gabriel,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.88,-34.04,external historical,scalar,5 minutos,2019-02-05 15:55,2022-09-07 18:40,3 y 215 d 2 h 50 m,377314,377314,mm,0.0,12.5,6 %,0.01,16,40 kB,0.11 B,,20,19,1,29 d 22 h 10 m,2022-09-09 15:00,30 d
INUMET-243,San Gabriel,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.88,-34.04,external historical,scalar,7:00 GMT-3,1980-03-16 07:00,2022-09-01 07:00,42 y 179 d,15510,15510,mm,0.0,161.0,18 %,0.01,16,8.7 kB,0.57 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-253,Santa Rosa,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-56.04,-34.5,external historical,scalar,7:00 GMT-3,1980-11-21 07:00,2022-09-01 07:00,41 y 294 d,15260,15260,mm,0.0,140.0,56 %,0.1,16,4.8 kB,0.33 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-262,Sta. Lucía (La Calera),Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.17,-34.22,external historical,scalar,7:00 GMT-3,1970-01-02 07:00,2022-09-01 07:00,52 y 255 d,19236,19236,mm,0.0,150.0,31 %,0.01,16,9.9 kB,0.53 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
INUMET-265,Tala,Precipitación,P.obs,P.obs (Precipitación observada),ImportINUMET,-55.76,-34.34,external historical,scalar,7:00 GMT-3,1970-01-03 07:00,2022-09-01 07:00,52 y 254 d,19235,19235,mm,0.0,230.0,25 %,0.01,16,9.6 kB,0.51 B,1695,1,0.05,1,44 d 22 h 10 m,2022-09-09 15:00,45 d
