HBVland			
date	Prec.	Temp	Qobs
19810101	0	-1	0.002
19810102	0	-3.6	0.005
19810103	0.2	-8	0.005
19810104	0.1	-10.3	0.005
19810105	0	-15	0.005
19810106	0	-17.6	0.004
19810107	0	-12.8	0.004
19810108	1.2	-4.7	0.004
19810109	1.7	3	0.018
19810110	0	-3.4	0.04
19810111	0	-5.1	0.034
19810112	1.1	1.3	0.035
19810113	0	-4.8	0.041
19810114	11.3	-5.1	0.041
19810115	4.4	-1.2	0.04
19810116	1.4	-4.1	0.038
19810117	1.3	-6.2	0.037
19810118	0.2	-10.2	0.036
19810119	0	-12.3	0.035
19810120	0	-17.7	0.034
19810121	1.7	-7.1	0.033
19810122	1.3	0.1	0.074
19810123	0	-2	0.139
19810124	0	2.8	0.229
19810125	1	-0.2	0.418
19810126	0	-4.7	0.405
19810127	0	-3.2	0.346
19810128	0	-2.2	0.29
19810129	0.2	0.7	0.241
19810130	0	3.2	0.204
19810131	0.1	4	0.184
19810201	0	5.4	0.177
19810202	0	4	0.172
19810203	0	0.6	0.167
19810204	4.4	-0.9	0.199
19810205	0	-3.3	0.25
19810206	7.7	-3.5	0.221
19810207	3.5	-0.2	0.272
19810208	0.2	1	0.414
19810209	0	-2.2	0.436
19810210	0	-8.6	0.385
19810211	0	-3.8	0.332
19810212	0.7	-3.2	0.29
19810213	1.1	-4.6	0.269
19810214	0.5	-4	0.26
19810215	0	-5.1	0.252
19810216	0	-4.4	0.245
19810217	0	-2.4	0.237
19810218	1	-2.9	0.23
19810219	0.1	-5.1	0.223
19810220	1.1	-7.3	0.217
19810221	1.7	-10.1	0.21
19810222	0	-13.1	0.204
19810223	0.7	-9.2	0.198
19810224	3.6	-2.4	0.192
19810225	0	-1.2	0.186
19810226	1.5	-4.7	0.181
19810227	0.1	-5.6	0.175
19810228	0	-7.5	0.17
19810301	0	-3.8	0.165
19810302	0	-2.8	0.16
19810303	0	-5.2	0.155
19810304	1.4	-8.9	0.15
19810305	10.2	-9	0.146
19810306	8	-9.6	0.141
19810307	11.7	-3.6	0.137
19810308	7.2	0.7	0.286
19810309	0.7	3.2	0.889
19810310	0	0.3	1.565
19810311	0	-4.8	1.668
19810312	3.1	-5.7	1.531
19810313	3.3	-2	1.384
