Lookout			
Dag	P[mm/d]	T[C]	Q[mm/d]
19510601	0	10.4	2.234136593
19510602	0	11.2	2.155745835
19510603	0	11.15	2.116550456
19510604	0	8.65	2.038159699
19510605	0	13.35	1.959768941
19510606	0	12.3	1.881378183
19510607	0	12.35	1.802987426
19510608	0	12.5	1.724596668
19510609	0	14.8	1.685401289
19510610	0	15.05	1.685401289
19510611	0	15.75	1.607010532
19510612	0	16.45	1.567815153
19510613	0	19.35	1.567815153
19510614	0	18.9	1.528619774
19510615	0	18.35	1.489424395
19510616	0	15.3	1.450229016
19510617	0	14.3	1.411033638
19510618	0	14	1.371838259
19510619	0	15.05	1.33264288
19510620	0	16.65	1.293447501
19510621	0	16.35	1.254252122
19510622	0	15.6	1.254252122
19510623	0	16.8	1.215056743
19510624	0	14.3	1.175861365
19510625	0	17.15	1.175861365
19510626	0	16.3	1.136665986
19510627	0	19.25	1.097470607
19510628	0	18.5	1.058275228
19510629	0	20.3	1.058275228
19510630	0	18.4	1.019079849
19510701	0	16.6	1.019079849
19510702	0	17.1	0.979884471
19510703	0	12.45	0.979884471
19510704	0	12.75	1.019079849
19510705	0	12.75	1.019079849
19510706	0	14.4	0.979884471
19510707	0	15.6	0.940689092
19510708	0	15.85	0.901493713
19510709	0	15	0.901493713
19510710	0	16.3	0.901493713
19510711	0	19	0.862298334
19510712	0	17.9	0.862298334
19510713	0	17.35	0.823102955
19510714	0	17.82222222	0.823102955
19510715	0	18.32222222	0.823102955
19510716	0	18.4	0.783907576
19510717	0	19.1	0.783907576
19510718	0	17.8	0.783907576
19510719	0	17.3	0.783907576
19510720	0	14.8	0.744712198
19510721	0	16.65	0.705516819
19510722	0	18	0.705516819
19510723	0	16.1	0.705516819
19510724	0	16.75	0.66632144
19510725	0	16.05	0.66632144
19510726	0	17.4	0.66632144
19510727	0	18.65	0.627126061
19510728	0	16.35	0.627126061
19510729	0	16.15	0.627126061
19510730	0	18.2	0.627126061
19510731	0	17.65	0.627126061
19510801	0	17.85	0.587930682
19510802	0	17.1	0.587930682
19510803	0	19	0.587930682
19510804	0	16.35	0.587930682
19510805	0	15.85	0.587930682
19510806	0	15.85	0.587930682
19510807	0	16.35	0.587930682
19510808	0	16.05	0.587930682
19510809	0	15.8	0.587930682
19510810	0	16.85	0.548735303
19510811	0	11.85	0.548735303
19510812	0	13	0.548735303
19510813	0	14.85	0.548735303
19510814	0	17.15	0.509539925
19510815	0	17.9	0.509539925
19510816	0	18.15	0.470344546
19510817	0	17.9	0.470344546
19510818	0	17.95	0.470344546
19510819	0	18.5	0.470344546
19510820	0	19.6	0.431149167
19510821	0	20.55	0.431149167
19510822	0	16.05	0.431149167
19510823	0	12.75	0.431149167
19510824	0	13.85	0.431149167
19510825	0	13.1	0.431149167
19510826	0	14.35	0.431149167
19510827	0	8.25	0.431149167
19510828	27.2034	11.2	0.66632144
19510829	8.32104	9.7	0.744712198
19510830	0	11.9	0.548735303
19510831	0	13	0.509539925
19510901	0	12.5	0.470344546
19510902	0	14.8	0.431149167
19510903	0	16.6	0.431149167
19510904	0	16.35	0.431149167
19510905	0	15.3	0.391953788
19510906	0	15	0.391953788
19510907	3.2004	15	0.431149167
19510908	0	16.1	0.431149167
19510909	0	14.9	0.391953788
19510910	0	11.6	0.391953788
19510911	0	11.7	0.391953788
19510912	0	15.4	0.391953788
19510913	0	18.25	0.352758409
19510914	0	19	0.352758409
19510915	0	18.2	0.352758409
19510916	0	17.6	0.352758409
19510917	0	19.95	0.352758409
19510918	0	17.9	0.352758409
19510919	0	15.35	0.352758409
19510920	0	14.05	0.352758409
19510921	0	15.65	0.352758409
19510922	0	12.45	0.352758409
19510923	0	12.5	0.352758409
19510924	0	13.55	0.352758409
19510925	11.84148	7	0.470344546
19510926	0	11.7	0.431149167
19510927	0	12	0.391953788
19510928	2.88036	8.1	0.431149167
19510929	1.92024	8.9	0.470344546
19510930	42.24528	11.9	1.607010532
19511001	37.12464	14.2	2.273331972
19511002	63.36792	13.64444444	4.546663943
19511003	45.12564	12.53333333	6.859191294
19511004	0	11.14444444	3.096434927
19511005	0	8.922222222	1.959768941
19511006	0	11.97777778	1.528619774
19511007	0	14.2	1.293447501
19511008	0	15.58888889	1.136665986
19511009	0	14.5	1.058275228
19511010	0	14.5	0.940689092
19511011	20.48256	10.58888889	1.175861365
19511012	32.96412	6.977777778	2.390918108
19511013	0	11.42222222	2.077355078
19511014	0	11.42222222	5.095399247
19511015	56.007	7.533333333	5.722525308
19511016	0	9.477777778	4.350687049
19511017	0	6.422222222	3.214021063
19511018	15.36192	6.5	3.292411821
19511019	19.2024	7.811111111	5.056203868
19511020	51.2064	10.03333333	9.485281675
19511021	21.12264	8.366666667	9.838040084
19511022	29.44368	6.977777778	17.67711585
19511023	77.76972	7.811111111	31.35630306
19511024	2.24028	6.144444444	17.63792047
19511025	0	5.588888889	11.24907372
19511026	0	5.588888889	7.721489628
19511027	0	5.866666667	5.99689296
19511028	0	8.922222222	5.056203868
19511029	0	10.03333333	4.272296291
19511030	0	5.033333333	3.64517023
19511031	0	4.755555556	3.214021063
19511101	0	3.088888889	2.822067275
19511102	0	5	2.66528576
19511103	0	6.977777778	2.430113487
19511104	7.68096	7.811111111	2.351722729
19511105	0	6.144444444	2.116550456
19511106	0	7.255555556	1.920573562
19511107	0	7.811111111	1.881378183
19511108	0	8.922222222	1.802987426
19511109	0	8.644444444	1.724596668
19511110	0	6.422222222	2.586895002
19511111	88.65108	7.533333333	8.074248037
19511112	44.16552	6.977777778	20.38159699
19511113	34.24428	6.7	15.87412842
19511114	11.2014	4.2	12.22895819
19511115	2.56032	4.2	8.544592583
19511116	0	3.366666667	6.6632144
19511117	0	4.755555556	5.565743793
19511118	0	5.5	4.821031595
19511119	3.2004	5.866666667	4.389882428
19511120	0	5.033333333	4.115514776
19511121	0	5.033333333	3.919537882
19511122	0	3.366666667	3.527584094
19511123	0	4.2	3.214021063
19511124	0	2.533333333	3.018044169
19511125	0	3.644444444	3.018044169
19511126	36.48456	7.255555556	4.272296291
19511127	14.4018	6.977777778	5.212985383
19511128	0	7.5	8.544592583
19511129	89.93124	8.644444444	16.22688683
19511130	26.56332	8	23.51722729
19511201	27.2034	8.088888889	24.88906555
19511202	0	7.255555556	17.12838054
19511203	66.88836	4.477777778	18.06906964
19511204	31.68396	4.2	19.20573562
19511205	43.52544	3.922222222	19.00975873
19511206	0	3.644444444	10.11240774
19511207	0	-1.633333333	8.035052658
19511208	0	-1.5	6.428042127
19511209	0	-1	5.408962277
19511210	0	0.866666667	4.97781311
19511211	0	2.533333333	5.212985383
19511212	0	0.588888889	5.212985383
19511213	0	0.588888889	5.212985383
19511214	0	-1.355555556	4.821031595
19511215	0	2.255555556	4.389882428
19511216	0	1.422222222	4.546663943
19511217	30.4038	2.533333333	4.389882428
19511218	0	3.088888889	9.524477053
19511219	0	2.811111111	8.231029552
19511220	0	0.311111111	6.232065233
19511221	93.45168	0.866666667	6.780800536
19511222	0	3.644444444	16.22688683
19511223	56.32704	3.366666667	10.46516615
19511224	0	-0.8	10.11240774
19511225	0	-3.022222222	6.153674475
19511226	2.88036	-1.355555556	5.487353035
19511227	13.44168	4.755555556	5.487353035
19511228	0	3.644444444	6.31045599
19511229	0	3.644444444	10.34758001
19511230	0	-0.244444444	9.602867811
19511231	75.52944	0.311111111	6.506432884
19520101	0	-3.022222222	5.212985383
19520102	0	-4.133333333	4.546663943
19520103	0	-3.3	4.115514776
19520104	15.36192	-1.077777778	3.801951746
19520105	0	1.144444444	3.370802579
19520106	0	1.7	3.135630306
19520107	0	-0.244444444	2.900458033
19520108	0	-0.522222222	2.704481139
19520109	0	1.144444444	2.900458033
19520110	0	1.977777778	3.292411821
19520111	0	0.866666667	2.97884879
19520112	0	0.311111111	2.743676517
19520113	0	0.588888889	2.547699623
19520114	18.56232	1.144444444	2.430113487
19520115	0	0.588888889	2.194941214
19520116	0	1.977777778	2.116550456
19520117	0	-0.522222222	2.038159699
19520118	0	1.144444444	1.99896432
