Norrsjön			
Date	P[mm/d]	T[C]	Q[mm/d]
19720101	0	1	0
19720102	0.2	-4.6	0
19720103	0	-7.2	0
19720104	0	-13.9	0
19720105	0	-9.4	0
19720106	0	-10	0
19720107	0	-16.6	0
19720108	0.2	-15.6	0
19720109	0	-14.4	0
19720110	0	-19.9	0
19720111	0.2	-19.6	0
19720112	0	-15.2	0
19720113	0	-14.2	0
19720114	0	-14	0
19720115	0	-16.7	0
19720116	0	-18.7	0
19720117	0	-11.6	0
19720118	1	-14.2	0
19720119	6.4	-10.8	0
19720120	0	-12.5	0
19720121	4	-16.3	0
19720122	0	-12.5	0
19720123	0	-12	0
19720124	0	-3.6	0
19720125	0.3	-2.8	0
19720126	0	-6.1	0
19720127	2	-5.9	0
19720128	0.6	-14.3	0
19720129	0.3	-16.9	0
19720130	0	-22.6	0
19720131	2.6	-23.6	0
19720201	3.7	-11.5	0
19720202	2.4	-6	0
19720203	2.1	-7.2	0
19720204	0.5	-6.7	0
19720205	0.3	-6	0
19720206	0	-8.3	0
19720207	0.3	-7.8	0
19720208	2.8	-8.7	0
19720209	0.4	-10.9	0
19720210	3	-8.7	0
19720211	0	-3.6	0
19720212	2.1	-4.3	0
19720213	0.4	-3.7	0
19720214	0	-5.1	0
19720215	0	-11.8	0
19720216	0	-13.7	0
19720217	0	-8.5	0
19720218	0	-10.2	0
19720219	0.5	-11.5	0
19720220	8	-9.8	0
19720221	1.1	-3.9	0
19720222	0	-8.9	0
19720223	0	-1.5	0
19720224	0	1.4	0
19720225	0	0.8	0
19720226	0	-5.4	0
19720227	0.3	-4.8	0
19720228	0	-4.3	0
19720229	0	-9.2	0
19720301	0	-9.5	0
19720302	0	-6.2	0
19720303	1.1	-10.5	0
19720304	1.1	-4.8	0
19720305	0.8	-2.9	0
19720306	0.6	-3.6	0
19720307	0	-5.3	0
19720308	0	-6	0
19720309	0	-14.4	0
19720310	0	-15	0
19720311	0	-11.6	0
19720312	0	2.1	0
19720313	0	8	0
19720314	0	2	0
19720315	0	0.5	0
19720316	0	1.5	0
19720317	0	2.3	0
19720318	0	2	0
19720319	0	1.4	0
19720320	0	1.5	0
19720321	0	2.6	0
19720322	0	3.2	0
19720323	0	-0.7	0
19720324	0	0.6	0
19720325	0	-1.4	0
19720326	8.4	-6.5	0
19720327	5.5	-2.9	0
19720328	2.6	-1	0.26
19720329	2.5	-1.6	0.28
19720330	0	-1.4	0.28
19720331	0	-5.6	0.26
19720401	0	-2.1	0.26
19720402	1.5	-9.3	0.26
19720403	6.5	-1.5	0.26
19720404	0	1.1	0.26
19720405	2.1	-1.5	0.26
19720406	0	1.5	0.26
19720407	6	2.7	0.26
19720408	0.4	0.1	0.26
19720409	0	1.5	0.26
19720410	0	3	0.28
19720411	1	1.4	0.3
19720412	0	3.2	0.33
19720413	0	4.3	0.38
19720414	0	3.3	0.45
19720415	0	2.6	0.57
19720416	0	4	0.75
19720417	0.9	2.4	0.97
19720418	0.4	3.8	1.19
19720419	0	2.8	1.34
19720420	0.2	4	1.54
19720421	0	4.3	1.79
19720422	0	2.5	2.17
19720423	0	1.5	2.25
19720424	1.7	-1.5	2.1
19720425	1.8	1.9	1.89
19720426	2.3	4	1.81
19720427	0	0.7	1.85
19720428	0.1	-1	1.73
19720429	5.8	2	1.6
19720430	9.3	1.3	1.58
19720501	0	7.3	1.69
19720502	0	7.5	2.63
19720503	0	8.4	4.57
19720504	1	8.3	6.46
19720505	0.1	8.7	7.87
19720506	0	8.1	7.21
19720507	0	7.1	6.07
19720508	0	5.1	5.08
19720509	0	3.2	4.1
19720510	0	3.7	3.32
19720511	0	5.7	2.95
19720512	0	6.9	2.64
19720513	0	3	2.44
19720514	0	4.5	2.22
19720515	0	4.8	1.94
19720516	0.1	4.6	1.8
19720517	0	7	1.7
19720518	0.3	5.8	1.62
19720519	0.3	5.1	1.54
19720520	10.6	8.5	1.57
19720521	9.4	9.3	2.07
19720522	0.7	8	2.75
19720523	0	9.9	2.84
19720524	0	8.9	2.43
19720525	5.8	9	2.11
19720526	5	8.2	2
19720527	2.8	6.9	2
19720528	0.6	7.4	1.98
19720529	1.5	6.8	1.81
19720530	2.8	8.8	1.6
19720531	1.1	4.9	1.53
19720601	0	6.9	1.47
19720602	0	8.3	1.38
19720603	2	7.9	1.3
19720604	0.5	9.1	1.23
19720605	0	15.1	1.12
19720606	0	16.8	0.99
19720607	0	18.9	0.86
19720608	0	14.3	0.74
19720609	24.7	10.8	0.64
19720610	2.5	12.6	0.59
19720611	0.5	11.3	0.57
19720612	21	9.5	0.73
19720613	9.2	10.3	2.64
19720614	0.2	12.9	4.42
19720615	0	10.2	3.84
19720616	0	10.7	3.09
19720617	0	13.7	2.44
19720618	0	14.5	1.95
19720619	2.7	15.1	1.71
19720620	3.3	12.9	1.58
19720621	0.3	11.5	1.43
19720622	3	12.7	1.27
19720623	1	11.2	1.11
19720624	0	12.9	0.94
19720625	0	13	0.8
19720626	0	14.7	0.66
19720627	0	17.1	0.59
19720628	0	19.9	0.53
19720629	0	19.8	0.45
19720630	0	18.1	0.38
19720701	0	18.4	0.35
19720702	5.6	19.6	0.32
19720703	0.7	17.8	0.31
19720704	37.4	16.4	0.44
19720705	0	19.2	0.78
19720706	0.4	18.6	0.97
19720707	5.8	17.8	0.98
19720708	3.8	19.4	0.98
19720709	10.2	13.6	0.93
19720710	12.9	12.7	0.92
19720711	15.3	16.9	1.51
19720712	0	17.4	3.23
19720713	0	16.8	3.7
19720714	0	16	2.89
19720715	0	20.9	2.17
19720716	0	18.4	1.61
19720717	3	18	1.27
19720718	0	15.3	1.04
19720719	28.1	15.3	1.03
19720720	16.6	15.4	2.4
19720721	0	12.9	5.43
19720722	0	11.2	4.71
19720723	6.1	15.2	3.62
19720724	3.2	18.5	3.04
19720725	9.5	17.4	2.79
19720726	1	12.3	2.62
19720727	0	11.8	2.41
19720728	0	12.8	1.99
19720729	0	13.2	1.56
19720730	0	15.5	1.22
19720731	0.2	17.3	1.03
19720801	1.7	19.1	0.89
19720802	1.5	16	0.81
19720803	5.4	13.6	0.73
19720804	0.2	12.6	0.73
19720805	0	10.3	0.69
19720806	0	15.2	0.62
19720807	0	17.3	0.55
19720808	0	17.7	0.48
19720809	1.1	15.8	0.42
19720810	3	14.2	0.39
19720811	0	11.6	0.35
19720812	0	11.7	0.29
19720813	0	13.6	0.26
19720814	1.8	13.5	0.24
19720815	0.2	14	0.22
19720816	1.3	15.2	0.21
19720817	4.1	13.4	0.21
19720818	0	11.3	0.21
19720819	0	11.8	0.21
19720820	1	11.9	0.19
19720821	0	11.9	0.19
19720822	0	9.5	0.17
19720823	3.7	8.7	0.17
19720824	0.5	8.3	0.17
19720825	0.5	10.2	0.17
19720826	0	12	0.17
19720827	0	9.3	0.14
19720828	0	10.1	0.14
19720829	0	11	0.13
19720830	0.2	9.1	0.13
19720831	0	7.4	0.13
19720901	0	12.7	0.13
19720902	0.5	14.1	0.12
19720903	0.3	11	0.11
19720904	1.3	6.3	0.11
19720905	0	7	0.11
19720906	0	10.6	0.11
19720907	4.1	9.6	0.11
19720908	0.4	12.7	0.11
19720909	0	6.8	0.11
19720910	8.6	13.1	0.11
19720911	7.8	9.3	0.14
19720912	0.3	8.4	0.2
19720913	0.3	6.7	0.21
19720914	1.3	5.9	0.21
19720915	0	5.9	0.21
19720916	0.2	9.3	0.21
19720917	0	7.6	0.21
19720918	0.9	8	0.21
19720919	0	8	0.21
19720920	0	7.3	0.19
19720921	0.4	5.3	0.19
19720922	1	6.8	0.19
19720923	0.2	5.8	0.18
19720924	0.3	5.9	0.17
19720925	1	4	0.17
19720926	0.2	6.4	0.17
19720927	0	3.5	0.17
19720928	0	1.5	0.16
19720929	0	3.3	0.14
19720930	0	4.4	0.14
19721001	0	3.5	0.14
19721002	0	5.6	0.14
19721003	0.2	4.5	0.14
19721004	2.4	4.4	0.14
19721005	0	7.2	0.14
19721006	0	4.1	0.14
19721007	0	6.6	0.14
19721008	0	6.6	0.14
19721009	0	8.8	0.14
19721010	0	8.1	0.14
19721011	3.9	4.3	0.14
19721012	0	3.6	0.14
19721013	0	6	0.14
19721014	0.3	4.6	0.14
19721015	0	5	0.14
19721016	0.3	5.3	0.14
19721017	0.3	5.5	0.14
19721018	0.6	1.1	0.14
19721019	0	1.6	0.14
19721020	2.5	-1	0.14
19721021	0	-1	0.14
19721022	0.1	-2.2	0.14
19721023	4.3	-0.3	0.14
19721024	0.2	-0.7	0.14
19721025	0.6	0.4	0.14
19721026	0	0.2	0.14
19721027	0	-0.6	0.14
19721028	0	1.3	0.14
19721029	0	2.5	0.14
19721030	0.2	2.8	0.14
19721031	0	4.2	0.16
19721101	8.1	1.2	0.18
19721102	0.2	1.1	0.19
19721103	1.2	0.4	0.21
19721104	0.5	0.3	0.21
19721105	0.8	0	0.21
19721106	0.2	1.3	0.21
19721107	0	0.8	0.21
19721108	0	-0.5	0.21
19721109	0	0	0.21
19721110	0.5	0.6	0.21
19721111	0	0.5	0.21
19721112	0.4	-0.5	0.21
19721113	9.1	0.3	0.23
19721114	5.3	-0.7	0.24
19721115	0	-7.6	0.24
19721116	0	-9.2	0.24
19721117	0	-5.7	0.24
19721118	0	-4.4	0.22
19721119	0	-6.5	0.21
19721120	0	-8.2	0.21
19721121	3.4	-5.2	0.2
19721122	5.9	0	0.19
19721123	0.5	-5	0.19
19721124	2.2	-7	0.19
19721125	0.7	-1.8	0.19
19721126	0	1.1	0.19
19721127	0	-3.5	0.19
19721128	1.8	-0.6	0.19
19721129	0.2	-0.9	0.19
19721130	9.5	-1.5	0.19
19721201	7.2	1.2	0.21
19721202	0	2.6	0.21
19721203	1.9	2.9	0.23
19721204	0	0.3	0.24
19721205	1	-0.8	0.25
19721206	0	3	0.28
19721207	5.6	0.4	0.32
19721208	0	-1.4	0.33
19721209	0	-10.2	0.33
19721210	6.4	-10.2	0.33
19721211	2.2	-7.6	0.32
19721212	0.2	-5.9	0.29
19721213	0.1	0.8	0.29
19721214	0	4.7	0.29
19721215	0.2	1.9	0.26
19721216	0	-1.2	0.26
19721217	0	-0.7	0.26
19721218	0	1	0.26
19721219	0.5	-0.9	0.26
19721220	0	-4.5	0.29
19721221	0	-6.6	0.31
19721222	0	-6.2	0.32
19721223	0	-8.1	0.29
19721224	0.5	-1.5	0.29
19721225	0	-8	0.29
19721226	0	-11.4	0.26
19721227	0	-2.6	0.26
19721228	0	-2.7	0.26
19721229	0	-0.6	0.24
19721230	0	1.4	0.24
19721231	0	4.8	0.24
19730101	0	1.2	0.24
19730102	0	0	0.24
19730103	0	1.5	0.24
19730104	0.7	-2.3	0.24
19730105	0	5.2	0.28
19730106	0	7.2	0.61
19730107	0.7	5.2	1.28
19730108	2.3	3.5	1.62
19730109	0	1.8	1.8
19730110	0.4	5.8	2.14
19730111	0	1.4	2.34
19730112	0	-0.6	2.19
19730113	0	-2.8	1.87
19730114	0	-6	1.5
19730115	0	-1.6	1.24
19730116	0	-0.7	1.05
19730117	0.1	-2.1	0.9
19730118	1.4	-3.6	0.8
19730119	5.5	-3.1	0.7
19730120	3	-6.5	0.63
19730121	5.8	-4.8	0.58
19730122	0	-2.6	0.54
19730123	0	-2.1	0.5
19730124	0	-0.7	0.44
19730125	0	1.8	0.43
19730126	0	0.7	0.43
19730127	0	-7.2	0.43
19730128	0	-6.3	0.4
19730129	0	-4.6	0.39
19730130	0	-4.1	0.36
19730131	0	-2.4	0.36
19730201	0	-2.5	0.33
19730202	0	-3.5	0.33
19730203	0	-0.1	0.29
19730204	0.8	-1.4	0.29
19730205	0	-4.5	0.26
19730206	0.6	-3.2	0.26
19730207	0	-5	0.24
19730208	0	-7.4	0.24
19730209	0	-7.7	0.24
19730210	0.2	-9.6	0.22
19730211	0.9	-11.9	0.21
19730212	12.1	-3	0.2
19730213	4.9	-0.6	0.22
19730214	0	-5	0.22
19730215	0	-9.9	0.21
19730216	1.9	-13.2	0.24
19730217	0.6	-7.7	0.22
19730218	0	-4.1	0.21
19730219	2.9	-2.5	0.21
19730220	0	-5.4	0.21
19730221	0.6	-3.2	0.21
19730222	0	-13.2	0.21
19730223	0.2	-9.8	0.2
19730224	0	-11.7	0.19
19730225	0	-13.7	0.19
19730226	0	-13.5	0.19
19730227	0	-11	0.18
19730228	1.4	-12.3	0.17
19730301	0	-7	0.17
19730302	0.1	-2.7	0.17
19730303	0	-0.9	0.17
19730304	1.6	-0.9	0.14
19730305	0.6	0.9	0.17
19730306	0	-8.5	0.15
19730307	0	-8.7	0.14
19730308	0.3	-5	0.14
19730309	2.4	-4.5	0.14
19730310	0	3.7	0.14
19730311	0	1.4	0.14
19730312	0	4.6	0.14
19730313	0.1	2.7	0.14
19730314	0	0.4	0.14
19730315	0	1.9	0.14
19730316	1.3	-3.7	0.13
19730317	3	-2.5	0.14
19730318	0.2	-3.5	0.14
19730319	0	-2.5	0.14
19730320	0	0.3	0.14
19730321	2	0	0.14
19730322	0.2	4	0.14
19730323	0	6	0.16
19730324	0	4.5	0.17
19730325	0	5	0.22
19730326	0	6.3	0.29
19730327	0	1.9	0.4
19730328	0	0	0.5
19730329	0	4.8	0.58
19730330	0	4.3	0.69
19730331	1.6	3	0.79
19730401	3.1	-0.7	0.85
19730402	3.5	1.3	0.89
19730403	0	1	0.84
19730404	0.2	-1.3	0.73
19730405	4.8	-1.8	0.71
19730406	1.4	1.8	0.63
19730407	0.5	1	0.59
19730408	0	-0.9	0.57
19730409	0.5	-1.3	0.52
19730410	3.4	-2.7	0.51
19730411	0.4	-1.8	0.48
19730412	0	0.6	0.43
19730413	0.5	0.5	0.41
19730414	0.2	4.2	0.4
19730415	0.3	1.3	0.4
19730416	12.5	4	0.4
19730417	10.9	2.6	0.56
19730418	6.2	2.8	0.69
19730419	11.5	1.5	0.81
19730420	2.4	0.8	0.9
19730421	0.6	0.9	0.92
19730422	0.1	1.6	0.92
19730423	1.1	3.4	0.92
19730424	0	2.4	0.94
19730425	1.3	0.8	1.03
19730426	0	-0.2	1.06
19730427	0.4	-1.7	1.06
19730428	0	1	1
19730429	0.6	-0.7	0.98
19730430	0	5.7	1.01
19730501	1.1	2.6	1.19
19730502	0	7.3	1.61
19730503	0	2	2.17
19730504	0	3.1	2.68
19730505	1.8	2.8	3.04
19730506	7.9	2.3	3.42
19730507	0	6.1	3.98
19730508	6.8	5.6	4.67
19730509	4.2	4.8	5.6
19730510	1	4.2	6.51
19730511	0.5	8	7.46
19730512	0	5.2	7.27
19730513	4.1	4.9	6.12
19730514	0	6.1	5.35
19730515	0	3.2	4.61
19730516	0	4.9	3.81
19730517	0	7.1	3.22
19730518	2.8	4.5	2.81
19730519	8.7	9.5	2.67
19730520	13.7	8	3.53
19730521	0.2	7.6	4.45
19730522	14	8	4.16
19730523	0	9.3	3.79
19730524	0	8.9	3.36
19730525	0	6.4	2.78
19730526	2.5	10.2	2.26
19730527	0.2	11.5	1.85
19730528	0.5	12.7	1.64
19730529	0	13.4	1.45
19730530	1.5	16.5	1.25
19730531	0	14.5	1.08
19730601	1.5	12.6	0.95
19730602	0.7	10.1	0.89
19730603	7.3	9.9	0.89
19730604	3.4	11	0.92
19730605	0	11.9	0.87
19730606	0.1	13.3	0.77
19730607	0	14.7	0.68
19730608	1.2	14.8	0.61
19730609	0.7	10.6	0.55
19730610	7	10.4	0.52
19730611	0	5.2	0.48
19730612	0.3	5.3	0.44
19730613	3.8	10.8	0.41
19730614	0	9.4	0.37
19730615	0.8	6.3	0.32
19730616	0	9.3	0.29
19730617	0	10	0.26
19730618	0	11.1	0.24
19730619	0	12.1	0.24
19730620	0	13.1	0.22
19730621	0	15.8	0.2
19730622	0	17.8	0.19
19730623	0	19.6	0.17
19730624	0	18.5	0.15
19730625	0	15.3	0.14
19730626	2.3	19.1	0.13
19730627	0	17.1	0.11
19730628	0	16.6	0.11
19730629	0.7	15.7	0.1
19730630	0	15.9	0.1
19730701	0	17	0.08
19730702	0	20.8	0.08
19730703	0	19.8	0.08
19730704	0	19.9	0.06
19730705	0	18.2	0.06
19730706	0	19.3	0.05
19730707	0	20.6	0.05
19730708	4.1	18.8	0.04
19730709	0	19	0.04
19730710	3.1	17.1	0.04
19730711	1.8	14.6	0.04
19730712	0	13.9	0.04
19730713	0	15.6	0.04
19730714	0	16.6	0.04
19730715	0.2	17.3	0.03
19730716	0.1	18.4	0.03
19730717	15.6	18.1	0.04
19730718	2.5	18.2	0.05
19730719	21.9	14.6	0.06
19730720	0	18.9	0.07
19730721	2.8	16.5	0.08
19730722	1	16.1	0.1
19730723	2.5	17.7	0.1
19730724	2.6	15.4	0.11
19730725	1.2	14.4	0.11
19730726	0	15	0.11
19730727	0	17.4	0.1
19730728	0	16.4	0.1
19730729	0	15.2	0.09
19730730	0	14.1	0.08
19730731	7.6	13.2	0.08
19730801	0	10.9	0.08
19730802	1.2	15.5	0.08
19730803	2.1	15.8	0.08
19730804	7.7	16.3	0.08
19730805	0	15.3	0.08
19730806	4.5	14.5	0.08
19730807	0.4	14.8	0.08
19730808	0	9.2	0.08
19730809	0	9.6	0.06
19730810	8.2	9.7	0.08
19730811	0	12.3	0.08
19730812	0	10.4	0.08
19730813	0	13.3	0.08
19730814	0	13.8	0.08
19730815	0	16.7	0.07
19730816	0	16	0.06
19730817	0	16.7	0.06
19730818	5.8	16.3	0.06
19730819	0.5	10.2	0.06
19730820	0.3	9.9	0.06
19730821	0.2	8.4	0.06
19730822	0	8.7	0.06
19730823	0	9.2	0.05
19730824	0	8.5	0.04
19730825	0	8.9	0.04
19730826	0.3	6.5	0.04
19730827	0.6	9.1	0.04
19730828	0	11	0.04
19730829	9.3	13.6	0.04
19730830	0.3	12.7	0.04
19730831	5.3	12.6	0.04
19730901	2	11.4	0.05
19730902	6.1	10.6	0.06
19730903	0.3	8.3	0.07
19730904	3.2	9.3	0.09
19730905	12.3	11.6	0.1
19730906	2.5	10.7	0.11
19730907	0.5	8.4	0.13
19730908	3.6	8.3	0.13
19730909	2.4	7.3	0.13
19730910	0.5	5.9	0.14
19730911	0.6	5.2	0.14
19730912	0	5	0.14
19730913	0.3	4	0.14
19730914	5.3	4.8	0.14
19730915	0.2	8.5	0.14
19730916	0	6	0.14
19730917	0	5.2	0.14
19730918	0	7.9	0.14
19730919	0	6.4	0.14
19730920	12.7	3.4	0.15
19730921	0.3	6.5	0.17
19730922	0	4.5	0.18
19730923	0	2.3	0.19
19730924	0	1.9	0.17
19730925	0	5.4	0.17
19730926	0	1	0.17
19730927	0	0.9	0.17
19730928	5.2	-1	0.17
19730929	0.7	6.3	0.17
19730930	0.2	4.9	0.17
19731001	1.3	6.1	0.19
19731002	0	8.9	0.19
19731003	0	10.2	0.19
19731004	0	12.7	0.19
19731005	0	7	0.18
19731006	0.2	1.8	0.17
19731007	0.9	4.3	0.17
19731008	8.3	4.7	0.17
19731009	2.3	5.1	0.2
19731010	0	-2.5	0.21
19731011	0	-3.2	0.21
19731012	0	0.3	0.21
19731013	0	-4.1	0.21
19731014	0	-0.8	0.21
19731015	0	-0.4	0.19
19731016	0	-1.9	0.19
19731017	0	-1.9	0.19
19731018	0	-4.6	0.18
19731019	0	-1.3	0.17
19731020	0	-1.9	0.17
19731021	0	-4.4	0.17
19731022	0	-9	0.16
19731023	0	-8.4	0.14
19731024	1.7	-4.4	0.14
19731025	0	0.5	0.14
19731026	0	4.8	0.13
19731027	0	1.3	0.13
19731028	0.9	2.4	0.13
19731029	1.7	0	0.13
19731030	0	-0.9	0.13
19731031	0	-6.2	0.13
19731101	0	-4.1	0.13
19731102	0	-3.1	0.13
19731103	0	-5.3	0.11
19731104	0	0	0.11
19731105	1.3	5.3	0.12
19731106	2.2	3.3	0.13
19731107	0.5	-1.2	0.13
19731108	3.4	-1	0.13
19731109	0	3.5	0.13
19731110	0	-1.5	0.14
19731111	1.1	-6.6	0.14
19731112	4.4	-6	0.13
19731113	0	-2.9	0.14
19731114	0	-11.6	0.14
19731115	0	-12.6	0.13
19731116	0	-18	0.13
19731117	0	-13.2	0.13
19731118	7	-9.1	0.13
19731119	9.6	-4.2	0.13
19731120	0	-5.2	0.14
19731121	1.2	-12.5	0.14
19731122	0	-1.6	0.14
19731123	0	-0.7	0.13
19731124	1.8	-10.7	0.13
19731125	0	-11.9	0.13
19731126	0	-9.6	0.13
19731127	0	-7.2	0.13
19731128	0	-14.2	0.12
19731129	0.6	-19.6	0.11
19731130	0.6	-14.6	0.12
19731201	0	-18.6	0.13
19731202	2.3	-21.2	0.11
19731203	0	-6.4	0.11
19731204	0	-8.4	0.11
19731205	1	-15.8	0.11
19731206	1.5	-13.5	0.11
19731207	1.9	-10.4	0.11
19731208	0	-19.2	0.11
19731209	3.2	-28.2	0.11
19731210	0.5	-10.5	0.11
19731211	0	-3.5	0.11
19731212	0	-8.6	0.11
19731213	6.5	-10.6	0.11
19731214	1.5	-5.9	0.11
19731215	0	-18.2	0.11
19731216	7	-17.2	0.11
19731217	1.5	-5.6	0.11
19731218	0	-13.2	0.11
19731219	0	-16.2	0.11
19731220	0	-23.5	0.11
19731221	8.4	-10.4	0.11
19731222	1.5	-1.7	0.12
19731223	0	-4.6	0.13
19731224	0.5	-9.3	0.13
19731225	0	-17.2	0.12
19731226	1	-12.4	0.11
19731227	0.4	-3.7	0.11
19731228	0	-2.8	0.11
19731229	0	-2.9	0.11
19731230	0	0	0.11
19731231	0	-1.8	0.11
19740101	0.2	-3.1	0.1
19740102	0	-9	0.1
19740103	0	-10.6	0.11
19740104	0	-10.7	0.11
19740105	0	-13.2	0.11
19740106	1.1	-5.7	0.09
19740107	0.1	-1.5	0.08
19740108	0	-3.2	0.08
19740109	0.8	-3.1	0.08
19740110	0	-1.4	0.08
19740111	0	-2.4	0.08
19740112	1.7	-4	0.08
19740113	1.2	-3.6	0.08
19740114	3.5	-0.3	0.09
19740115	1.6	0.5	0.1
19740116	1	-1.2	0.1
19740117	0	-9.7	0.1
19740118	0	-9.5	0.09
19740119	0	-1	0.08
19740120	0	-4.1	0.08
19740121	0	-5.9	0.08
19740122	0	-0.8	0.08
19740123	7.1	-8.5	0.09
19740124	0	-6.2	0.1
19740125	0	-6.3	0.1
19740126	0	-9.2	0.1
19740127	0	-7.9	0.1
